,Term,Count
99,Rehabilitation Centers,18189
100,Nutrition Surveys,3042
101,"Cell Line, Tumor",112
102,Lipoproteins,274883
103,Immune Tolerance,58980
104,Lupus Coagulation Inhibitor,36
105,Patch-Clamp Techniques,3039
106,"Ventricular Function, Right",68
107,Healthy Lifestyle,152511
108,Pancreatectomy,54425
109,Poland,2499372
110,Hydrocephalus,179414
111,"Receptors, Immunologic",10
112,Drug-Related Side Effects and Adverse Reactions,34
113,"Metabolism, Inborn Errors",100
114,Geographic Atrophy,9779
115,College Admission Test,2683
116,Cell Differentiation,400860
117,Germ Cells,197516
118,Pneumococcal Vaccines,6862
119,Hyponatremia,108883
120,Fatty Liver,221769
121,Pseudomonas aeruginosa,122430
122,Health Services Needs and Demand,16
123,Smoking Cessation,266181
124,Health Status Indicators,1808
125,Endovascular Procedures,9047
126,"Medical Staff, Hospital",130
127,Endpoint Determination,817
128,Rh Isoimmunization,12
129,Lung Neoplasms,2541
130,"Gene Expression Regulation, Neoplastic",5
131,Confidence Intervals,829507
132,Radiology,396552
133,Interdisciplinary Communication,2432
134,Orthodontic Brackets,10657
135,Immunosuppressive Agents,43414
136,Isoproterenol,126026
137,Gastrointestinal Diseases,25247
138,"Cholesteatoma, Middle Ear",22
139,Intraoperative Care,738
140,Dementia,1896538
141,Asia,5298335
142,Academic Medical Centers,17795
143,Percutaneous Coronary Intervention,119324
144,Writing,20853796
145,Sarcoidosis,206991
146,Pelvic Organ Prolapse,23658
147,Publishing,3703155
148,Heart Ventricles,2379
149,Kaplan-Meier Estimate,67
150,Blood Transfusion,223894
151,Afghanistan,2714395
152,Hospice Care,47869
153,China,18592723
154,Life Tables,15794
155,Tumor Suppressor Protein p53,5325
156,"Carcinoma, Hepatocellular",1544
157,Follicle Stimulating Hormone,23567
158,Virus Diseases,4498
159,Learning Disorders,10639
160,Dilatation,389245
161,Fibrinogen,432206
162,"Liver Cirrhosis, Alcoholic",105
163,Mesopic Vision,712
164,"Infant, Newborn",197
165,Fluoroscopy,142474
166,Anti-Inflammatory Agents,47617
167,Colon,8717033
168,Nuclear Family,50743
169,Depression,7243236
170,"Ventricular Dysfunction, Left",167
171,Interleukin-15,3822
172,"Pregnancy Complications, Hematologic",9
173,"Carcinoma, Signet Ring Cell",87
174,Veterinarians,176900
175,"Radiography, Bitewing",8
176,Brain Death,52694
177,"Insurance, Health",5867
178,Body Composition,296892
179,Testis,503496
180,Netherlands,2623811
181,Alabama,2900364
182,Insulin,6331313
183,Transcranial Direct Current Stimulation,17349
184,Ethanol,2880475
185,Oxygen,8186984
186,Cytoreduction Surgical Procedures,0
187,Endomyocardial Fibrosis,2734
188,"Mutation, Missense",124
189,Subarachnoid Hemorrhage,88076
190,Cross-Sectional Studies,77131
191,Medicare,1651399
192,Colorectal Neoplasms,5470
193,"Lens, Crystalline",18
194,Copper,3758920
195,Breast Neoplasms,2785
196,Volunteers,3012959
197,Constipation,421119
198,Vertigo,254219
199,Nursing Assessment,4904
200,Manikins,10880
201,Nasal Septum,27556
202,Anxiety Disorders,210085
203,Tibial Meniscus Injuries,0
204,"Anesthetics, Local",107
205,Polysaccharides,339875
206,Erythrocyte Indices,871
207,Patient Education as Topic,62
208,Evidence-Based Medicine,51861
209,"Anti-Inflammatory Agents, Non-Steroidal",45
210,Workplace,1794358
211,Parturition,93700
212,Government,52035283
213,Mortality,7977945
214,Cholesterol,3608948
215,Nasal Decongestants,2451
216,Patient Readmission,588
217,Polyethylene Glycols,14784
218,Viruses,3053348
219,Minimally Invasive Surgical Procedures,4811
220,Pneumothorax,159528
221,Pyrimidines,31584
222,Los Angeles,5222230
223,Femoral Artery,127290
224,Liver Neoplasms,1832
225,Managed Care Programs,1681
226,Rare Diseases,73747
227,Professional Role,15189
228,Capnography,17092
229,Eczema,247308
230,Frail Elderly,19751
231,Geriatric Assessment,18244
232,Reference Values,128907
233,"Sequence Analysis, DNA",84
234,Sodium Bicarbonate,104250
235,Diabetic Angiopathies,365
236,Humans,8646203
237,Tongue,3453108
238,Ohio,5479945
239,Sutures,336186
240,Amylases,14900
241,"Sleep Apnea, Obstructive",147
242,Pneumonia,2219492
243,Breast Feeding,59014
244,Premature Birth,42097
245,"Pathology, Veterinary",102
246,Low Back Pain,205610
247,Latin America,850460
248,Androstenedione,45802
249,Interferon-gamma,82222
250,Walking,8370042
251,Reminder Systems,3192
252,Cross Infection,4462
253,Trigeminal Neuralgia,29875
254,Warm Ischemia,16683
255,"Serum Albumin, Bovine",236
256,Prostate,3154363
257,Neisseria gonorrhoeae,19965
258,Echocardiography,605393
259,"Education, Graduate",629
260,"Insurance, Pharmaceutical Services",4
261,Operative Time,111798
262,Quality Improvement,209957
263,Sleep Wake Disorders,62
264,Police,29121737
265,Intention,5662671
266,Immunoenzyme Techniques,85
267,Government Programs,71055
268,Haplotypes,570894
269,Tissue Expansion Devices,37
270,Granulocytes,170014
271,Bariatric Surgery,145079
272,Digestive System Surgical Procedures,12
273,Autonomic Pathways,1142
274,"Diet, Atherogenic",19
275,Pyramidal Cells,89765
276,Transplant Donor Site,12
277,Manitoba,453244
278,Cost-Benefit Analysis,51889
279,Prostheses and Implants,328
280,Methadone,239928
281,Rural Health Services,1609
282,Swine,628510
283,Arsenic,610740
284,"Labor Stage, First",7
285,Enterococcus,69769
286,Euthyroid Sick Syndromes,9
287,Pulmonary Medicine,8827
288,Ethnic Groups,399633
289,Nutrition Assessment,4388
290,Ontario,2370731
291,"Cholecystectomy, Laparoscopic",253
292,Beverages,863366
293,Cold Temperature,22512
294,Spermatozoa,314909
295,Risk Assessment,513685
296,Breast Diseases,5649
297,Drug Utilization,10325
298,Necrosis,1769939
299,Clavicle,101896
300,"Infant, Low Birth Weight",57
301,Sexual Behavior,188849
302,Hepatic Veins,17993
303,Leg,17618160
304,Blood Glucose,865250
305,Bone Density,140409
306,Poliovirus Vaccines,1250
307,Personality Inventory,25388
308,Developing Countries,820255
309,Prosthesis Design,3029
310,Social Support,477154
311,"Anesthesia, Spinal",342
312,Excitatory Postsynaptic Potentials,10511
313,Anti-Retroviral Agents,797
314,Feces,483356
315,Adrenocorticotropic Hormone,32420
316,Outcome and Process Assessment (Health Care),8
317,Barium Sulfate,18702
318,"Chromatography, Liquid",649
319,"Hernia, Hiatal",58
320,Choroid,395568
321,Odds Ratio,621016
322,India,13222582
323,Shoulder Dislocation,10559
324,Dental Alloys,2641
325,Tooth Discoloration,3263
326,Preoperative Period,12845
327,Laminectomy,68824
328,Tunica Intima,4775
329,Soccer,2614136
330,"Biofeedback, Psychology",13
331,Fetus,705951
332,Head and Neck Neoplasms,1126
333,"Neoplasms, Second Primary",2
334,Pollen,1014086
335,"Cholangiopancreatography, Endoscopic Retrograde",82
336,Staphylococcus aureus,230931
337,Meglumine,19270
338,"History, 21st Century",496
339,Colectomy,74793
340,Brazil,4916522
341,Tooth Extraction,33348
342,Catheter Ablation,59721
343,"Economics, Hospital",72
344,Clinical Protocols,16635
345,Drug Therapy,165832
346,Poliomyelitis,42089
347,Breast Density,27780
348,Wet Macular Degeneration,1096
349,Acute Disease,21178
350,Glomerular Filtration Rate,216871
351,"Fertility Agents, Female",8
352,Pancreatic Neoplasms,5054
353,Leuprolide,16176
354,Trauma Severity Indices,43
355,United States,39603185
356,"Tachycardia, Ventricular",1984
357,Pancreatitis,489502
358,Seminiferous Tubules,51631
359,Infant Mortality,132539
360,Epidural Abscess,12461
361,Patient Care Team,1379
362,Angioplasty,313027
363,Breast Implantation,775
364,Alanine Transaminase,35728
365,Ovulation Induction,16113
366,Self-Assessment,111547
367,Urinalysis,102469
368,Secondary Prevention,96517
369,Dietary Proteins,6446
370,Medical Record Linkage,331
371,Caribbean Region,2269
372,Glasgow Coma Scale,38042
373,Immunoglobulin M,4538
374,Postpartum Period,55941
375,Phosphorylation,3652416
376,Accidental Falls,3529
377,Spinal Diseases,3372
378,Prevalence,6535340
379,Hypolipidemic Agents,2100
380,"Circumcision, Male",47
381,Urinary Bladder Diseases,55
382,Clinical Trials as Topic,272
383,Jugular Veins,12041
384,Carboplatin,178065
385,"Hydrogel, Polyethylene Glycol Dimethacrylate",2
386,Cysts,615607
387,Hospitalization,1171876
388,Combined Modality Therapy,4340
389,Dark Adaptation,15609
390,Decision Support Techniques,183
391,Kinesis,54909
392,Abdominal Pain,424943
393,Lung Diseases,88585
394,Health Services Misuse,10
395,Sports Medicine,101825
396,Strabismus,80835
397,Uveal Neoplasms,19
398,Needs Assessment,54735
399,Hospital Mortality,62162
400,Mucous Membrane,54558
401,"Rats, Sprague-Dawley",72
402,"Range of Motion, Articular",14
403,Drug Combinations,48657
404,Hepatic Artery,76111
405,Albuterol,37791
406,Nasal Obstruction,31254
407,Molluscum Contagiosum,6429
408,Middle East,2300125
409,"Receptors, Vasopressin",50
410,Physician-Patient Relations,430
411,Terrorism,2109654
412,Body Weight,1897654
413,Acquired Immunodeficiency Syndrome,47693
414,Patient Outcome Assessment,101
415,Actin Cytoskeleton,160044
416,Dizziness,370109
417,Freezing,1527214
418,Octreotide,73354
419,Neoplasm Grading,21
420,Persistent Vegetative State,9469
421,Pliability,17983
422,Portal Vein,185450
423,Budgets,814540
424,"Aorta, Thoracic",157
425,Community Health Services,10475
426,Povidone-Iodine,18716
427,Appendicitis,179369
428,Reproducibility of Results,6574
429,Basal Metabolism,7752
430,Language,25890589
431,Nurse Clinicians,1190
432,Heart Valve Prosthesis,2695
433,Military Personnel,378744
434,Fiber Optic Technology,2206
435,Amaurosis Fugax,3533
436,Arthroscopy,115326
437,Taxoids,2481
438,"Sperm Injections, Intracytoplasmic",8
439,Dental Caries,119701
440,Baths,583402
441,Surgical Stomas,16
442,Peroxisome Proliferator-Activated Receptors,8824
443,Oropharyngeal Neoplasms,82
444,"Anti-Infective Agents, Local",9
445,Lebanon,1085738
446,Neural Pathways,41287
447,Elastomers,108479
448,Medically Uninsured,531
449,Health Care Rationing,1459
450,"Disease Models, Animal",50
451,Insulin Resistance,901195
452,Colonoscopy,323732
453,"Hospitals, General",1000
454,Body Mass Index,938592
455,"Carcinoma, Papillary",961
456,Hepatectomy,132354
457,"Gait Disorders, Neurologic",12
458,Transportation of Patients,1138
459,Temporal Lobe,220191
460,"Quality Assurance, Health Care",61
461,Robotics,570662
462,Bicuspid,32941
463,"Osteoarthritis, Knee",189
464,Lymph Node Excision,1558
465,Choice Behavior,15265
466,Sulfasalazine,33577
467,DNA Virus Infections,7
468,"Administration, Oral",611
469,Advertising as Topic,3
470,Home Care Services,15580
471,Smoking Prevention,10900
472,"Pregnancy Complications, Neoplastic",6
473,Femur,539271
474,Chlorhexidine,107883
475,"Diet, Diabetic",60
476,Emergency Medical Services,58044
477,"Potassium Channels, Voltage-Gated",44
478,Foreign-Body Migration,11
479,Platelet Count,207969
480,Lymphocyte Count,56455
481,Pituitary Neoplasms,443
482,Diarrhea,1077513
483,"Tomography, X-Ray Computed",59
484,"Arthritis, Rheumatoid",2666
485,Pregnancy,5337243
486,Cardiovascular Agents,2334
487,Kidney Diseases,66973
488,Tissue Plasminogen Activator,50776
489,Cardiopulmonary Bypass,129555
490,Thyrotropin,55309
491,Stents,416790
492,Informed Consent,1580768
493,"Polymorphism, Genetic",166
494,"Blood Pressure Monitoring, Ambulatory",15
495,"Purpura, Thrombocytopenic, Idiopathic",19
496,"Pregnancy Trimester, Second",3
497,"Rats, Inbred F344",12
498,Antineoplastic Combined Chemotherapy Protocols,21
499,Washington,14337822
500,CD56 Antigen,0
501,Synaptic Transmission,143027
502,Leptin,791555
503,"Dilatation, Pathologic",5
504,"Mastectomy, Segmental",16
505,"Diabetes, Gestational",1733
506,Biomechanical Phenomena,117
507,Radiation Protection,39410
508,Device Removal,5734
509,Adverse Drug Reaction Reporting Systems,61
510,Reverse Transcriptase Polymerase Chain Reaction,23256
511,Electromyography,90375
512,Aging,3272816
513,Visual Acuity,432378
514,DNA,20590364
515,Lumbosacral Region,3951
516,Intercellular Signaling Peptides and Proteins,17
517,Cone-Beam Computed Tomography,12054
518,Benzalkonium Compounds,40
519,Gastrectomy,173800
520,Continuous Positive Airway Pressure,40324
521,Sensitivity and Specificity,479702
522,Tooth,3238174
523,Bipolar Disorder,384993
524,Amoxapine,3225
525,Oral Health,327040
526,Blood Gas Analysis,30524
527,"Education, Medical, Graduate",32
528,Secretin,46082
529,Internship and Residency,3409
530,Intra-Abdominal Fat,6085
531,Parents,16717264
532,Sexually Transmitted Diseases,76551
533,Life Expectancy,554520
534,Interpersonal Relations,21791
535,Prenatal Diagnosis,65166
536,Retrospective Studies,74334
537,Sensory Thresholds,3954
538,Coronary Disease,57504
539,End Stage Liver Disease,4592
540,"Pregnancy, Animal",39
541,"Hearing Loss, Sudden",70
542,Indicators and Reagents,19
543,HLA Antigens,59
544,Mandibular Fractures,9029
545,Carboxylic Ester Hydrolases,231
546,Xanthomatosis,4221
547,Cholecystitis,87372
548,Maxilla,172811
549,Premedication,48948
550,"Pattern Recognition, Physiological",4
551,Gynecologic Surgical Procedures,266
552,Rural Population,62827
553,Specific Pathogen-Free Organisms,6
554,Abdominal Fat,56009
555,Poisons,223670
556,Blood Group Incompatibility,1106
557,New Jersey,3252262
558,Feasibility Studies,27711
559,Fertilization in Vitro,1425
560,Abdomen,984423
561,"Hospitals, Psychiatric",529
562,"Hypertrophy, Left Ventricular",368
563,Folic Acid,250304
564,Tibia,402745
565,"Models, Statistical",809
566,Adipose Tissue,828454
567,Immunohistochemistry,961729
568,Status Epilepticus,67948
569,Causality,537999
570,Punctures,175708
571,"Tuberculosis, Gastrointestinal",45
572,"Memory, Short-Term",865
573,"Hepatitis, Viral, Human",11
574,False Negative Reactions,384
575,Radiosurgery,88896
576,Health Care Surveys,185
577,Karyotyping,41210
578,"Administration, Topical",168
579,"Hospitals, High-Volume",5
580,Systole,84876
581,Affective Symptoms,10678
582,"Neoplasms, Radiation-Induced",7
583,Noise,11436369
584,Body Temperature,395802
585,Glass,15271654
586,"Nystagmus, Physiologic",2
587,Fetal Macrosomia,5052
588,Time Factors,4117
589,Anti-HIV Agents,90
590,Injury Severity Score,28928
591,"Statistics, Nonparametric",79
592,Neuroimmunomodulation,1165
593,"Echinococcosis, Hepatic",17
594,Midwifery,127963
595,Task Performance and Analysis,23
596,"Dermatitis, Atopic",937
597,Carotid Arteries,89002
598,Longitudinal Studies,137243
599,DNA Probes,665
600,"Intensive Care Units, Neonatal",55
601,Subclavian Steal Syndrome,1750
602,Mammography,245679
603,Thyroidectomy,106045
604,Biometry,26094
605,Health Resources,51799
606,Triiodothyronine,51515
607,Occupational Exposure,80157
608,Insurance Coverage,379512
609,Adrenal Cortex Hormones,264
610,Sacrum,78682
611,Colonic Polyps,8248
612,Inorganic Chemicals,3856
613,Staining and Labeling,113
614,Birth Weight,502196
615,Respiratory Sounds,3463
616,Gastric Emptying,107018
617,Hospital Bed Capacity,835
618,Incidence,6214920
619,Patient Participation,18716
620,Orthodontic Anchorage Procedures,7
621,Manuals as Topic,2
622,"Anemia, Sickle Cell",306
623,Triage,308999
624,Essential Tremor,22707
625,"Cholesterol, LDL",412
626,Women's Health,137249
627,Osmolar Concentration,114
628,Cerebellar Neoplasms,81
629,Esterification,107844
630,Palliative Care,361324
631,"Homosexuality, Male",98
632,"Endothelium, Vascular",439
633,Nursing Homes,239583
634,"Ultrasonography, Prenatal",17
635,Vascular Resistance,146256
636,Mesentery,62069
637,Hyperbaric Oxygenation,3736
638,Tensile Strength,270543
639,"Intubation, Gastrointestinal",25
640,Fenofibrate,62162
641,Polyps,335366
642,Eosinophilia,124649
643,Coronary Artery Disease,440589
644,Paraffin Embedding,18057
645,"Milk, Human",354
646,Sex Hormone-Binding Globulin,11185
647,Dental Arch,29071
648,Myocardial Ischemia,137392
649,Risk,37958601
650,Carotid Artery Thrombosis,1288
651,"Monitoring, Physiologic",18
652,Bone Plates,7011
653,"Administration, Inhalation",128
654,Antitussive Agents,524
655,State Medicine,813
656,Biocompatible Materials,8462
657,Solvents,987759
658,Recovery of Function,10285
659,Coronary Care Units,2785
660,Pubic Bone,20535
661,Lymphoma,1395699
662,"Carotid Artery, Internal",557
663,Preventive Health Services,5851
664,Pelvis,521588
665,Durapatite,148
666,Atenolol,55837
667,"Genital Neoplasms, Female",11
668,Schizophrenia,1584206
669,Microglia,828761
670,Dyspnea,310844
671,Adenocarcinoma,1028453
672,Pedigree,408754
673,Public Opinion,577279
674,Automobiles,575974
675,External Fixators,6082
676,Heart Atria,456
677,Retinal Hemorrhage,5890
678,Germany,10859049
679,Child Abuse,417894
680,Correction of Hearing Impairment,11
681,Neuropsychological Tests,45212
682,Patient Admission,6005
683,Somatoform Disorders,11853
684,Contrast Media,69219
685,Ovarian Follicle,11991
686,"Respiratory Distress Syndrome, Newborn",17
687,Intraoperative Period,4450
688,"Models, Educational",96
689,Lymphatic Metastasis,17980
690,Postoperative Complications,205204
691,Religion and Medicine,884
692,Personality Disorders,86997
693,"Receptors, Serotonin",535
694,"Models, Theoretical",273
695,Tympanoplasty,13257
696,Genotype,2639417
697,Administrative Personnel,11821
698,Guidelines as Topic,207
699,Histamine,481461
700,Documentation,5879778
701,Censuses,63311
702,Multiple Organ Failure,39178
703,Cell Movement,33298
704,Allergens,331615
705,"Stress, Psychological",1019
706,Rhinoplasty,53241
707,Intracranial Thrombosis,199
708,Thymoma,59169
709,"Malocclusion, Angle Class III",3
710,Computer Simulation,86985
711,Research,58824359
712,Acetabulum,63423
713,"Lipoproteins, LDL",42
714,Randomized Controlled Trials as Topic,69
715,Basketball,3687299
716,"Pregnancy, Ectopic",283
717,New Zealand,3633818
718,Radiotherapy Dosage,203
719,Nutritional Status,225314
720,"Arthroplasty, Replacement, Knee",42
721,Skin Tests,24330
722,Parkinson Disease,8314
723,Eye Diseases,37538
724,Antidepressive Agents,828
725,Probability,11903050
726,Hip,4250963
727,Tuberculoma,9594
728,Whole Body Imaging,3023
729,Skin Absorption,4328
730,"Fractures, Bone",1111
731,Femoral Neck Fractures,14666
732,"Audiometry, Evoked Response",6
733,Joint Instability,7992
734,"RNA, Messenger",31
735,Antibody Specificity,13201
736,Molecular Probe Techniques,26
737,Respiratory System,116867
738,Program Evaluation,29613
739,Prosthesis Implantation,4851
740,Demography,122887
741,Pediatrics,322817
742,Switzerland,2100574
743,Thoracotomy,108962
744,Pharmacies,335115
745,"Reagent Kits, Diagnostic",10
746,Life Style,94066
747,Point-of-Care Systems,491
748,Teaching,6449306
749,Tyrosine,1369033
750,Imitative Behavior,1177
751,Mutation,5255174
752,"Electrocardiography, Ambulatory",30
753,Guinea Pigs,223147
754,Trigeminal Nerve,44638
755,"Carcinoma, Non-Small-Cell Lung",278
756,Peritoneal Neoplasms,123
757,Drug Costs,35293
758,Hospital Units,8879
759,Esophageal Atresia,11408
760,Reading,19253974
761,Observer Variation,1589
762,Morbidity,1853164
763,Adhesives,319113
764,Antitubercular Agents,1661
765,"Mossy Fibers, Hippocampal",16
766,Dietary Fiber,133914
767,Open Fracture Reduction,121
768,Bone Marrow,1683774
769,Exercise,12447977
770,Metabolic Diseases,94838
771,Radiotherapy,1311758
772,Health Services Accessibility,251
773,Sperm Count,54280
774,Noninvasive Ventilation,13718
775,Alphapapillomavirus,336
776,"Analgesia, Epidural",184
777,Head Protective Devices,21
778,Pelvic Pain,68720
779,Pregnancy Complications,40427
780,Mitochondria,1746183
781,Drug Prescriptions,11636
782,"Child, Preschool",145
783,Kentucky,2228139
784,Retinal Diseases,22554
785,Health Personnel,37694
786,Head-Down Tilt,3795
787,Algorithms,4807979
788,Postoperative Care,26645
789,Heart Valve Prosthesis Implantation,18
790,Computer-Aided Design,32193
791,Refractive Errors,27764
792,Fecal Incontinence,30957
793,Renal Dialysis,8367
794,Supine Position,136249
795,Hip Joint,122822
796,Multilingualism,14698
797,Extremities,478228
798,Muscle Spasticity,4172
799,"Chromatography, High Pressure Liquid",175
800,Nasopharyngeal Neoplasms,134
801,Forecasting,471312
802,Cyclophosphamide,293462
803,"Hospitals, Private",1930
804,Turkey,4065663
805,Adrenergic beta-Antagonists,57
806,Cushing Syndrome,607
807,Glucose Tolerance Test,102672
808,Locomotion,364435
809,Pancreatic Juice,18039
810,"Radiotherapy, Conformal",29
811,"Lasers, Solid-State",124
812,Intestinal Neoplasms,562
813,Arthrodesis,70711
814,Knee Prosthesis,12279
815,Empathy,1003398
816,Competitive Behavior,3920
817,Syncope,155402
818,"Immunity, Cellular",336
819,Skin Temperature,61324
820,Spain,4578551
821,GB virus C,1719
822,England,11585691
823,Stromal Cells,299411
824,Erythrocytes,462626
825,Polysomnography,55269
826,Severity of Illness Index,269
827,Activities of Daily Living,188910
828,Balloon Occlusion,12100
829,Urticaria,117359
830,Organ Preservation,13086
831,Radiation Injuries,2787
832,"Accidents, Traffic",636
833,Photography,2302041
834,Behavior,21513085
835,Fires,2179992
836,"Spectrometry, X-Ray Emission",6
837,Choledocholithiasis,19398
838,Language Development Disorders,104
839,Pharynx,118189
840,Central Venous Pressure,31371
841,Insulin Antibodies,2883
842,"Anesthetics, Inhalation",20
843,Osteonecrosis,74099
844,"Rats, Wistar",53
845,"Radiography, Thoracic",65
846,"Students, Dental",285
847,Meningitis,475251
848,"Image Processing, Computer-Assisted",17
849,Liver Cirrhosis,174451
850,Denmark,1599276
851,Cryptorchidism,36171
852,"Shock, Cardiogenic",259
853,Thymus Neoplasms,18
854,Resource Allocation,177770
855,Hysteroscopy,36207
856,Steroids,870118
857,Hospital Administration,14107
858,Obesity,3723798
859,Joint Dislocations,3252
860,"Vena Cava, Inferior",316
861,"Malocclusion, Angle Class II",5
862,Perinatal Care,11716
863,Ventriculoperitoneal Shunt,10532
864,Sympathomimetics,4698
865,Emergencies,531503
866,"Peer Review, Health Care",12
867,Staff Development,18262
868,Dermatologic Surgical Procedures,74
869,Mass Casualty Incidents,2108
870,Mental Disorders,381568
871,Life Change Events,256
872,"Diabetes Mellitus, Type 2",601
873,Irritable Bowel Syndrome,102049
874,"Antineoplastic Agents, Hormonal",11
875,"Urinary Bladder, Overactive",11
876,Color,27838221
877,Rectum,361563
878,Interrupted Time Series Analysis,2177
879,Self Efficacy,7063
880,Case-Control Studies,91675
881,"Cartilage, Articular",134
882,Compact Disks,10301
883,Nickel,1310261
884,Plant Leaves,23925
885,Human Growth Hormone,41765
886,Fluorouracil,48569
887,"Echocardiography, Transesophageal",215
888,"Constriction, Pathologic",17
889,"Carcinoma, Squamous Cell",2713
890,Bacteremia,212826
891,Cell Wall,625846
892,Neuroendocrine Tumors,43244
893,Touch,16289302
894,"Receptors, Dopamine D2",11
895,Athletic Injuries,2688
896,Healthcare Disparities,3423
897,Philadelphia,3146601
898,Diagnostic and Statistical Manual of Mental Disorders,62893
899,Health Care Costs,156925
900,Mobility Limitation,3575
901,Turbinates,16986
902,Linear Models,144661
903,"Education, Medical, Undergraduate",24
904,Australia,9216984
905,Precursor Cell Lymphoblastic Leukemia-Lymphoma,32
906,ROC Curve,4731
907,Cough,2114456
908,Baltimore,2008329
909,Linkage Disequilibrium,146952
910,Sweetening Agents,4796
911,Complement Factor H,479
912,"Neoplasms, Glandular and Epithelial",14
913,Substance-Related Disorders,3274
914,Insulin Infusion Systems,123
915,Motion Pictures,121484
916,Fever,3277684
917,Nitrous Oxide,118214
918,Neurodegenerative Diseases,259860
919,Anticoagulants,149564
920,Sex Determination Analysis,28
921,"Monitoring, Ambulatory",75
922,"Cardiology Service, Hospital",2
923,Titanium,1141088
924,"Radiographic Image Interpretation, Computer-Assisted",9
925,Surveys and Questionnaires,1537
926,Saudi Arabia,1533808
927,Non-ST Elevated Myocardial Infarction,13
928,Endosonography,7069
929,Nova Scotia,455098
930,"Analgesia, Patient-Controlled",42
931,Heart Transplantation,65978
932,Epinephrine,269752
933,Precancerous Conditions,2906
934,"Pregnancy, Twin",123
935,Frozen Sections,48808
936,Spinal Fusion,58702
937,Spinal Cord Diseases,800
938,Acute Coronary Syndrome,107785
939,Africa,8435652
940,Benign Paroxysmal Positional Vertigo,6871
941,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",9
942,Ureter,467534
943,Physical Examination,434447
944,Qualitative Research,136013
945,"Quality Indicators, Health Care",40
946,Giant Cell Arteritis,13309
947,Muscle Strength,243837
948,Atracurium,16639
949,Environmental Monitoring,49380
950,"Antiretroviral Therapy, Highly Active",24
951,Autoimmune Diseases,318581
952,Laparotomy,219222
953,"Signal Processing, Computer-Assisted",0
954,Kidney,4353598
955,North America,2518890
956,Drug Administration Schedule,310
957,Gadolinium DTPA,150
958,"Mice, Inbred BALB C",19
959,"Pattern Recognition, Automated",18
960,Postoperative Hemorrhage,5595
961,Child Language,6600
962,Escherichia coli,490732
963,von Willebrand Factor,5775
964,Hormone Replacement Therapy,77032
965,Penile Diseases,105
966,Interleukin-8,39921
967,"Receptors, Progesterone",603
968,Shoulder Joint,49296
969,Pregnancy Outcome,48983
970,Health Status,548810
