,Term,Count
75,"Abortifacient Agents, Nonsteroidal",4
76,Hip Fractures,106975
77,Chronic Disease,1195361
78,Mastectomy,478832
79,Aromatase Inhibitors,47003
80,Cell Count,379326
81,Reproductive Behavior,30435
82,Varicose Veins,264777
83,Pitch Discrimination,3965
84,"Neovascularization, Pathologic",436
85,Parity,3145132
86,Methotrexate,654076
87,Mental Recall,1441
88,Shoulder Pain,198253
89,"Abortion, Induced",360
90,Athletic Performance,307870
91,Medical Indigency,274
92,Molecular Diagnostic Techniques,2972
93,Immunization Programs,46816
94,Midodrine,13862
95,Health Facility Merger,12
96,Face,157014561
97,Penis,2771349
98,"Receptors, Estrogen",743
99,Rehabilitation Centers,133043
100,Nutrition Surveys,7941
101,"Cell Line, Tumor",2115
102,Lipoproteins,247426
103,Immune Tolerance,59584
104,Lupus Coagulation Inhibitor,24
105,Patch-Clamp Techniques,2456
106,"Ventricular Function, Right",67
107,Healthy Lifestyle,1066587
108,Pancreatectomy,36562
109,Poland,16831731
110,Hydrocephalus,325911
111,"Receptors, Immunologic",262
112,Drug-Related Side Effects and Adverse Reactions,409
113,"Metabolism, Inborn Errors",1276
114,Geographic Atrophy,24957
115,College Admission Test,24202
116,Cell Differentiation,324605
117,Germ Cells,176275
118,Pneumococcal Vaccines,24561
119,Hyponatremia,213336
120,Fatty Liver,493445
121,Pseudomonas aeruginosa,369382
122,Health Services Needs and Demand,370
123,Smoking Cessation,646965
124,Health Status Indicators,5050
125,Endovascular Procedures,14473
126,"Medical Staff, Hospital",742
127,Endpoint Determination,1016
128,Rh Isoimmunization,116
129,Lung Neoplasms,3575
130,"Gene Expression Regulation, Neoplastic",834
131,Confidence Intervals,671045
132,Radiology,2626615
133,Interdisciplinary Communication,8283
134,Orthodontic Brackets,7851
135,Immunosuppressive Agents,40005
136,Isoproterenol,61522
137,Gastrointestinal Diseases,56201
138,"Cholesteatoma, Middle Ear",45
139,Intraoperative Care,1579
140,Dementia,11903571
141,Asia,52617235
142,Academic Medical Centers,126600
143,Percutaneous Coronary Intervention,179436
144,Writing,138868356
145,Sarcoidosis,277606
146,Pelvic Organ Prolapse,71399
147,Publishing,34887657
148,Heart Ventricles,2462
149,Kaplan-Meier Estimate,931
150,Blood Transfusion,452442
151,Afghanistan,24251788
152,Hospice Care,412460
153,China,137787191
154,Life Tables,34740
155,Tumor Suppressor Protein p53,4325
156,"Carcinoma, Hepatocellular",2220
157,Follicle Stimulating Hormone,33320
158,Virus Diseases,18687
159,Learning Disorders,54734
160,Dilatation,285507
161,Fibrinogen,274971
162,"Liver Cirrhosis, Alcoholic",169
163,Mesopic Vision,982
164,"Infant, Newborn",5140
165,Fluoroscopy,145943
166,Anti-Inflammatory Agents,66023
167,Colon,23730375
168,Nuclear Family,407253
169,Depression,27399529
170,"Ventricular Dysfunction, Left",352
171,Interleukin-15,8246
172,"Pregnancy Complications, Hematologic",80
173,"Carcinoma, Signet Ring Cell",62
174,Veterinarians,1040866
175,"Radiography, Bitewing",5
176,Brain Death,131471
177,"Insurance, Health",91452
178,Body Composition,468183
179,Testis,376066
180,Netherlands,20415464
181,Alabama,19399863
182,Insulin,7478260
183,Transcranial Direct Current Stimulation,41554
184,Ethanol,4203009
185,Oxygen,16480394
186,Cytoreduction Surgical Procedures,25
187,Endomyocardial Fibrosis,2757
188,"Mutation, Missense",519
189,Subarachnoid Hemorrhage,115705
190,Cross-Sectional Studies,75920
191,Medicare,11279527
192,Colorectal Neoplasms,6673
193,"Lens, Crystalline",74
194,Copper,15248070
195,Breast Neoplasms,6350
196,Volunteers,23288824
197,Constipation,1272270
198,Vertigo,1279538
199,Nursing Assessment,14684
200,Manikins,41875
201,Nasal Septum,40620
202,Anxiety Disorders,649701
203,Tibial Meniscus Injuries,8
204,"Anesthetics, Local",335
205,Polysaccharides,374877
206,Erythrocyte Indices,1060
207,Patient Education as Topic,413
208,Evidence-Based Medicine,215899
209,"Anti-Inflammatory Agents, Non-Steroidal",693
210,Workplace,19790428
211,Parturition,125567
212,Government,378606191
213,Mortality,15278786
214,Cholesterol,5908463
215,Nasal Decongestants,9987
216,Patient Readmission,2216
217,Polyethylene Glycols,13415
218,Viruses,8000707
219,Minimally Invasive Surgical Procedures,8520
220,Pneumothorax,189594
221,Pyrimidines,37663
222,Los Angeles,52700118
223,Femoral Artery,104987
224,Liver Neoplasms,2338
225,Managed Care Programs,9681
226,Rare Diseases,672726
227,Professional Role,72015
228,Capnography,37075
229,Eczema,1047857
230,Frail Elderly,60525
231,Geriatric Assessment,25955
232,Reference Values,136542
233,"Sequence Analysis, DNA",1944
234,Sodium Bicarbonate,223928
235,Diabetic Angiopathies,315
236,Humans,38153771
237,Tongue,10802800
238,Ohio,34424195
239,Sutures,406957
240,Amylases,17077
241,"Sleep Apnea, Obstructive",631
242,Pneumonia,4655081
243,Breast Feeding,177391
244,Premature Birth,202725
245,"Pathology, Veterinary",1039
246,Low Back Pain,510370
247,Latin America,9481496
248,Androstenedione,48390
249,Interferon-gamma,66104
250,Walking,44196456
251,Reminder Systems,6564
252,Cross Infection,13414
253,Trigeminal Neuralgia,80887
254,Warm Ischemia,6390
255,"Serum Albumin, Bovine",493
256,Prostate,6225635
257,Neisseria gonorrhoeae,87199
258,Echocardiography,611957
259,"Education, Graduate",11037
260,"Insurance, Pharmaceutical Services",12
261,Operative Time,54764
262,Quality Improvement,935511
263,Sleep Wake Disorders,461
264,Police,171908592
265,Intention,24488641
266,Immunoenzyme Techniques,586
267,Government Programs,544347
268,Haplotypes,347079
269,Tissue Expansion Devices,14
270,Granulocytes,113073
271,Bariatric Surgery,390151
272,Digestive System Surgical Procedures,108
273,Autonomic Pathways,1282
274,"Diet, Atherogenic",38
275,Pyramidal Cells,57663
276,Transplant Donor Site,25
277,Manitoba,4177279
278,Cost-Benefit Analysis,358445
279,Prostheses and Implants,854
280,Methadone,947235
281,Rural Health Services,9821
282,Swine,2237263
283,Arsenic,1833472
284,"Labor Stage, First",1
285,Enterococcus,192392
286,Euthyroid Sick Syndromes,18
287,Pulmonary Medicine,75447
288,Ethnic Groups,2271512
289,Nutrition Assessment,12958
290,Ontario,22944218
291,"Cholecystectomy, Laparoscopic",546
292,Beverages,5333267
293,Cold Temperature,67490
294,Spermatozoa,205281
295,Risk Assessment,2853900
296,Breast Diseases,12046
297,Drug Utilization,30340
298,Necrosis,1540273
299,Clavicle,185750
300,"Infant, Low Birth Weight",181
301,Sexual Behavior,603611
302,Hepatic Veins,14328
303,Leg,108243117
304,Blood Glucose,1194733
305,Bone Density,397051
306,Poliovirus Vaccines,2824
307,Personality Inventory,53747
308,Developing Countries,5753313
309,Prosthesis Design,3168
310,Social Support,1031573
311,"Anesthesia, Spinal",513
312,Excitatory Postsynaptic Potentials,4332
313,Anti-Retroviral Agents,1064
314,Feces,1132248
315,Adrenocorticotropic Hormone,41563
316,Outcome and Process Assessment (Health Care),42
317,Barium Sulfate,28304
318,"Chromatography, Liquid",1870
319,"Hernia, Hiatal",181
320,Choroid,346356
321,Odds Ratio,404773
322,India,132624525
323,Shoulder Dislocation,23189
324,Dental Alloys,2746
325,Tooth Discoloration,11758
326,Preoperative Period,8758
327,Laminectomy,55998
328,Tunica Intima,5164
329,Soccer,21116912
330,"Biofeedback, Psychology",95
331,Fetus,2341180
332,Head and Neck Neoplasms,1699
333,"Neoplasms, Second Primary",210
334,Pollen,2415733
335,"Cholangiopancreatography, Endoscopic Retrograde",80
336,Staphylococcus aureus,745094
337,Meglumine,17727
338,"History, 21st Century",779
339,Colectomy,71374
340,Brazil,34307481
341,Tooth Extraction,95442
342,Catheter Ablation,76654
343,"Economics, Hospital",651
344,Clinical Protocols,36736
345,Drug Therapy,364632
346,Poliomyelitis,147241
347,Breast Density,63315
348,Wet Macular Degeneration,9737
349,Acute Disease,36464
350,Glomerular Filtration Rate,166394
351,"Fertility Agents, Female",14
352,Pancreatic Neoplasms,6312
353,Leuprolide,24638
354,Trauma Severity Indices,107
355,United States,196791634
356,"Tachycardia, Ventricular",4459
357,Pancreatitis,678613
358,Seminiferous Tubules,34917
359,Infant Mortality,745869
360,Epidural Abscess,16848
361,Patient Care Team,7835
362,Angioplasty,379752
363,Breast Implantation,1997
364,Alanine Transaminase,21244
365,Ovulation Induction,30669
366,Self-Assessment,674957
367,Urinalysis,174016
368,Secondary Prevention,156760
369,Dietary Proteins,10906
370,Medical Record Linkage,681
371,Caribbean Region,31708
372,Glasgow Coma Scale,42425
373,Immunoglobulin M,6588
374,Postpartum Period,117633
375,Phosphorylation,2028219
376,Accidental Falls,12499
377,Spinal Diseases,5112
378,Prevalence,10421193
379,Hypolipidemic Agents,1262
380,"Circumcision, Male",823
381,Urinary Bladder Diseases,126
382,Clinical Trials as Topic,1812
383,Jugular Veins,20044
384,Carboplatin,193695
385,"Hydrogel, Polyethylene Glycol Dimethacrylate",10
386,Cysts,883180
387,Hospitalization,2502893
388,Combined Modality Therapy,6397
389,Dark Adaptation,16927
390,Decision Support Techniques,1031
391,Kinesis,166061
392,Abdominal Pain,866279
393,Lung Diseases,226573
394,Health Services Misuse,36
395,Sports Medicine,1363846
396,Strabismus,164996
397,Uveal Neoplasms,121
398,Needs Assessment,436824
399,Hospital Mortality,61478
400,Mucous Membrane,131209
401,"Rats, Sprague-Dawley",1176
402,"Range of Motion, Articular",383
403,Drug Combinations,74235
404,Hepatic Artery,49163
405,Albuterol,194922
406,Nasal Obstruction,35371
407,Molluscum Contagiosum,23630
408,Middle East,24623048
409,"Receptors, Vasopressin",64
410,Physician-Patient Relations,2804
411,Terrorism,18685232
412,Body Weight,2405154
413,Acquired Immunodeficiency Syndrome,80346
414,Patient Outcome Assessment,294
415,Actin Cytoskeleton,113793
416,Dizziness,1321918
417,Freezing,5468376
418,Octreotide,71447
419,Neoplasm Grading,173
420,Persistent Vegetative State,37737
421,Pliability,46450
422,Portal Vein,126309
423,Budgets,7503977
424,"Aorta, Thoracic",334
425,Community Health Services,85449
426,Povidone-Iodine,26200
427,Appendicitis,375111
428,Reproducibility of Results,11140
429,Basal Metabolism,10669
430,Language,124393928
431,Nurse Clinicians,2577
432,Heart Valve Prosthesis,3259
433,Military Personnel,2095462
434,Fiber Optic Technology,10425
435,Amaurosis Fugax,3416
436,Arthroscopy,259568
437,Taxoids,1893
438,"Sperm Injections, Intracytoplasmic",40
439,Dental Caries,208131
440,Baths,3499155
441,Surgical Stomas,30
442,Peroxisome Proliferator-Activated Receptors,9054
443,Oropharyngeal Neoplasms,271
444,"Anti-Infective Agents, Local",100
445,Lebanon,10232979
446,Neural Pathways,127519
447,Elastomers,173133
448,Medically Uninsured,3707
449,Health Care Rationing,9761
450,"Disease Models, Animal",2472
451,Insulin Resistance,983589
452,Colonoscopy,552621
453,"Hospitals, General",4584
454,Body Mass Index,911017
455,"Carcinoma, Papillary",1402
456,Hepatectomy,52547
457,"Gait Disorders, Neurologic",59
458,Transportation of Patients,4735
459,Temporal Lobe,269180
460,"Quality Assurance, Health Care",224
461,Robotics,5698590
462,Bicuspid,52526
463,"Osteoarthritis, Knee",1105
464,Lymph Node Excision,1120
465,Choice Behavior,20477
466,Sulfasalazine,52839
467,DNA Virus Infections,52
468,"Administration, Oral",1175
469,Advertising as Topic,37
470,Home Care Services,104243
471,Smoking Prevention,46080
472,"Pregnancy Complications, Neoplastic",67
473,Femur,664887
474,Chlorhexidine,160762
475,"Diet, Diabetic",232
476,Emergency Medical Services,475147
477,"Potassium Channels, Voltage-Gated",189
478,Foreign-Body Migration,34
479,Platelet Count,215065
480,Lymphocyte Count,46817
481,Pituitary Neoplasms,886
482,Diarrhea,2948266
483,"Tomography, X-Ray Computed",1325
484,"Arthritis, Rheumatoid",7126
485,Pregnancy,18750852
486,Cardiovascular Agents,2691
487,Kidney Diseases,231615
488,Tissue Plasminogen Activator,54374
489,Cardiopulmonary Bypass,106179
490,Thyrotropin,54620
491,Stents,526814
492,Informed Consent,1840020
493,"Polymorphism, Genetic",1441
494,"Blood Pressure Monitoring, Ambulatory",82
495,"Purpura, Thrombocytopenic, Idiopathic",247
496,"Pregnancy Trimester, Second",96
497,"Rats, Inbred F344",68
498,Antineoplastic Combined Chemotherapy Protocols,762
499,Washington,108291693
500,CD56 Antigen,52
501,Synaptic Transmission,117387
502,Leptin,545179
503,"Dilatation, Pathologic",83
504,"Mastectomy, Segmental",55
505,"Diabetes, Gestational",3002
506,Biomechanical Phenomena,665
507,Radiation Protection,253920
508,Device Removal,7417
509,Adverse Drug Reaction Reporting Systems,210
510,Reverse Transcriptase Polymerase Chain Reaction,18132
511,Electromyography,114598
512,Aging,14246921
513,Visual Acuity,454082
514,DNA,29746529
515,Lumbosacral Region,4479
516,Intercellular Signaling Peptides and Proteins,453
517,Cone-Beam Computed Tomography,20198
518,Benzalkonium Compounds,65
519,Gastrectomy,143586
520,Continuous Positive Airway Pressure,68707
521,Sensitivity and Specificity,354519
522,Tooth,12366402
523,Bipolar Disorder,1519498
524,Amoxapine,6761
525,Oral Health,1382367
526,Blood Gas Analysis,22560
527,"Education, Medical, Graduate",200
528,Secretin,40705
529,Internship and Residency,70602
530,Intra-Abdominal Fat,5408
531,Parents,105437571
532,Sexually Transmitted Diseases,373910
533,Life Expectancy,2685864
534,Interpersonal Relations,112091
535,Prenatal Diagnosis,100785
536,Retrospective Studies,69315
537,Sensory Thresholds,3177
538,Coronary Disease,101988
539,End Stage Liver Disease,6653
540,"Pregnancy, Animal",144
541,"Hearing Loss, Sudden",161
542,Indicators and Reagents,184
543,HLA Antigens,800
544,Mandibular Fractures,9865
545,Carboxylic Ester Hydrolases,103
546,Xanthomatosis,6546
547,Cholecystitis,100025
548,Maxilla,174981
549,Premedication,53146
550,"Pattern Recognition, Physiological",12
551,Gynecologic Surgical Procedures,648
552,Rural Population,303438
553,Specific Pathogen-Free Organisms,60
554,Abdominal Fat,76860
555,Poisons,1023746
556,Blood Group Incompatibility,1531
557,New Jersey,23768693
558,Feasibility Studies,300881
559,Fertilization in Vitro,1435
560,Abdomen,2193657
561,"Hospitals, Psychiatric",3266
562,"Hypertrophy, Left Ventricular",414
563,Folic Acid,699282
564,Tibia,478343
565,"Models, Statistical",4690
566,Adipose Tissue,686796
567,Immunohistochemistry,553956
568,Status Epilepticus,134312
569,Causality,1247386
570,Punctures,289699
571,"Tuberculosis, Gastrointestinal",183
572,"Memory, Short-Term",2282
573,"Hepatitis, Viral, Human",89
574,False Negative Reactions,352
575,Radiosurgery,218159
576,Health Care Surveys,1687
577,Karyotyping,36107
578,"Administration, Topical",485
579,"Hospitals, High-Volume",11
580,Systole,63844
581,Affective Symptoms,10522
582,"Neoplasms, Radiation-Induced",183
583,Noise,29143114
584,Body Temperature,984985
585,Glass,64246448
586,"Nystagmus, Physiologic",11
587,Fetal Macrosomia,6477
588,Time Factors,16908
589,Anti-HIV Agents,929
590,Injury Severity Score,23090
591,"Statistics, Nonparametric",657
592,Neuroimmunomodulation,5505
593,"Echinococcosis, Hepatic",8
594,Midwifery,964625
595,Task Performance and Analysis,252
596,"Dermatitis, Atopic",2299
597,Carotid Arteries,81212
598,Longitudinal Studies,198940
599,DNA Probes,1554
600,"Intensive Care Units, Neonatal",280
601,Subclavian Steal Syndrome,1343
602,Mammography,663415
603,Thyroidectomy,99568
604,Biometry,54882
605,Health Resources,502416
606,Triiodothyronine,56940
607,Occupational Exposure,190991
608,Insurance Coverage,2623605
609,Adrenal Cortex Hormones,1121
610,Sacrum,172445
611,Colonic Polyps,8765
612,Inorganic Chemicals,25260
613,Staining and Labeling,257
614,Birth Weight,644290
615,Respiratory Sounds,4343
616,Gastric Emptying,98825
617,Hospital Bed Capacity,9697
618,Incidence,9048188
619,Patient Participation,45473
620,Orthodontic Anchorage Procedures,12
621,Manuals as Topic,10
622,"Anemia, Sickle Cell",1439
623,Triage,967472
624,Essential Tremor,81842
625,"Cholesterol, LDL",1281
626,Women's Health,1013155
627,Osmolar Concentration,434
628,Cerebellar Neoplasms,113
629,Esterification,82696
630,Palliative Care,1495397
631,"Homosexuality, Male",1342
632,"Endothelium, Vascular",1019
633,Nursing Homes,1876878
634,"Ultrasonography, Prenatal",239
635,Vascular Resistance,94799
636,Mesentery,60701
637,Hyperbaric Oxygenation,4720
638,Tensile Strength,477042
639,"Intubation, Gastrointestinal",167
640,Fenofibrate,96309
641,Polyps,528506
642,Eosinophilia,158401
643,Coronary Artery Disease,675392
644,Paraffin Embedding,6925
645,"Milk, Human",1100
646,Sex Hormone-Binding Globulin,14750
647,Dental Arch,31152
648,Myocardial Ischemia,124457
649,Risk,150103894
650,Carotid Artery Thrombosis,1043
651,"Monitoring, Physiologic",274
652,Bone Plates,8844
653,"Administration, Inhalation",271
654,Antitussive Agents,433
655,State Medicine,5742
656,Biocompatible Materials,15454
657,Solvents,1321442
658,Recovery of Function,12091
659,Coronary Care Units,3964
660,Pubic Bone,37112
661,Lymphoma,3003406
662,"Carotid Artery, Internal",644
663,Preventive Health Services,30128
664,Pelvis,1073224
665,Durapatite,131
666,Atenolol,108463
667,"Genital Neoplasms, Female",117
668,Schizophrenia,3578324
669,Microglia,575747
670,Dyspnea,356819
671,Adenocarcinoma,847148
672,Pedigree,1788381
673,Public Opinion,3921541
674,Automobiles,3068104
675,External Fixators,5063
676,Heart Atria,566
677,Retinal Hemorrhage,7712
678,Germany,67939522
679,Child Abuse,3373984
680,Correction of Hearing Impairment,18
681,Neuropsychological Tests,43143
682,Patient Admission,10210
683,Somatoform Disorders,22166
684,Contrast Media,70273
685,Ovarian Follicle,16722
686,"Respiratory Distress Syndrome, Newborn",121
687,Intraoperative Period,3767
688,"Models, Educational",590
689,Lymphatic Metastasis,6867
690,Postoperative Complications,127471
691,Religion and Medicine,6475
692,Personality Disorders,344804
693,"Receptors, Serotonin",815
694,"Models, Theoretical",1810
695,Tympanoplasty,15256
696,Genotype,1743409
697,Administrative Personnel,73816
698,Guidelines as Topic,2663
699,Histamine,467080
700,Documentation,19649159
701,Censuses,470863
702,Multiple Organ Failure,60909
703,Cell Movement,31850
704,Allergens,998578
705,"Stress, Psychological",3935
706,Rhinoplasty,250237
707,Intracranial Thrombosis,310
708,Thymoma,56303
709,"Malocclusion, Angle Class III",9
710,Computer Simulation,281109
711,Research,425285900
712,Acetabulum,66266
713,"Lipoproteins, LDL",256
714,Randomized Controlled Trials as Topic,3138
715,Basketball,32135070
716,"Pregnancy, Ectopic",531
717,New Zealand,37289636
718,Radiotherapy Dosage,224
719,Nutritional Status,307439
720,"Arthroplasty, Replacement, Knee",397
721,Skin Tests,29348
722,Parkinson Disease,50539
723,Eye Diseases,176091
724,Antidepressive Agents,2263
725,Probability,15979875
726,Hip,23428009
727,Tuberculoma,8249
728,Whole Body Imaging,3434
729,Skin Absorption,14182
730,"Fractures, Bone",2541
731,Femoral Neck Fractures,12139
732,"Audiometry, Evoked Response",7
733,Joint Instability,13345
734,"RNA, Messenger",3062
735,Antibody Specificity,8130
736,Molecular Probe Techniques,44
737,Respiratory System,356318
738,Program Evaluation,319748
739,Prosthesis Implantation,6475
740,Demography,892777
741,Pediatrics,3550331
742,Switzerland,16753466
743,Thoracotomy,78528
744,Pharmacies,2376339
745,"Reagent Kits, Diagnostic",115
746,Life Style,498176
747,Point-of-Care Systems,1150
748,Teaching,60943969
749,Tyrosine,1189112
750,Imitative Behavior,2742
751,Mutation,6204876
752,"Electrocardiography, Ambulatory",91
753,Guinea Pigs,526436
754,Trigeminal Nerve,82691
755,"Carcinoma, Non-Small-Cell Lung",809
756,Peritoneal Neoplasms,374
757,Drug Costs,239380
758,Hospital Units,25900
759,Esophageal Atresia,17334
760,Reading,115226108
761,Observer Variation,1569
762,Morbidity,2428715
763,Adhesives,870774
764,Antitubercular Agents,1994
765,"Mossy Fibers, Hippocampal",14
766,Dietary Fiber,356107
767,Open Fracture Reduction,75
768,Bone Marrow,2500433
769,Exercise,47276006
770,Metabolic Diseases,190674
771,Radiotherapy,1521678
772,Health Services Accessibility,1565
773,Sperm Count,140615
774,Noninvasive Ventilation,24034
775,Alphapapillomavirus,404
776,"Analgesia, Epidural",232
777,Head Protective Devices,116
778,Pelvic Pain,188928
779,Pregnancy Complications,109132
780,Mitochondria,1546201
781,Drug Prescriptions,24283
782,"Child, Preschool",7227
783,Kentucky,17166077
784,Retinal Diseases,63800
785,Health Personnel,135771
786,Head-Down Tilt,2417
787,Algorithms,12138801
788,Postoperative Care,35319
789,Heart Valve Prosthesis Implantation,93
790,Computer-Aided Design,134768
791,Refractive Errors,49620
792,Fecal Incontinence,46125
793,Renal Dialysis,41116
794,Supine Position,92720
795,Hip Joint,217888
796,Multilingualism,230175
797,Extremities,923763
798,Muscle Spasticity,15168
799,"Chromatography, High Pressure Liquid",878
800,Nasopharyngeal Neoplasms,221
801,Forecasting,3762412
802,Cyclophosphamide,345113
803,"Hospitals, Private",15495
804,Turkey,31242481
805,Adrenergic beta-Antagonists,252
806,Cushing Syndrome,4768
807,Glucose Tolerance Test,77239
808,Locomotion,665485
809,Pancreatic Juice,16119
810,"Radiotherapy, Conformal",35
811,"Lasers, Solid-State",502
812,Intestinal Neoplasms,657
813,Arthrodesis,57300
814,Knee Prosthesis,9144
815,Empathy,7012424
816,Competitive Behavior,11967
817,Syncope,291092
818,"Immunity, Cellular",756
819,Skin Temperature,92435
820,Spain,34382182
821,GB virus C,1758
822,England,91735729
823,Stromal Cells,233021
824,Erythrocytes,304487
825,Polysomnography,62431
826,Severity of Illness Index,2510
827,Activities of Daily Living,304717
828,Balloon Occlusion,12177
829,Urticaria,290843
830,Organ Preservation,17211
831,Radiation Injuries,6644
832,"Accidents, Traffic",5259
833,Photography,28104698
834,Behavior,65400152
835,Fires,13283651
836,"Spectrometry, X-Ray Emission",34
837,Choledocholithiasis,13942
838,Language Development Disorders,427
839,Pharynx,202160
840,Central Venous Pressure,25570
841,Insulin Antibodies,2403
842,"Anesthetics, Inhalation",147
843,Osteonecrosis,111344
844,"Rats, Wistar",1234
845,"Radiography, Thoracic",99
846,"Students, Dental",1492
847,Meningitis,1366359
848,"Image Processing, Computer-Assisted",1036
849,Liver Cirrhosis,168038
850,Denmark,11622462
851,Cryptorchidism,41586
852,"Shock, Cardiogenic",363
853,Thymus Neoplasms,124
854,Resource Allocation,565631
855,Hysteroscopy,65804
856,Steroids,3331609
857,Hospital Administration,91239
858,Obesity,8912015
859,Joint Dislocations,6922
860,"Vena Cava, Inferior",408
861,"Malocclusion, Angle Class II",14
862,Perinatal Care,32351
863,Ventriculoperitoneal Shunt,11785
864,Sympathomimetics,29734
865,Emergencies,4283698
866,"Peer Review, Health Care",64
867,Staff Development,343493
868,Dermatologic Surgical Procedures,165
869,Mass Casualty Incidents,12088
870,Mental Disorders,1133575
871,Life Change Events,507
872,"Diabetes Mellitus, Type 2",3324
873,Irritable Bowel Syndrome,400683
874,"Antineoplastic Agents, Hormonal",111
875,"Urinary Bladder, Overactive",84
876,Color,106637904
877,Rectum,557653
878,Interrupted Time Series Analysis,7543
879,Self Efficacy,20628
880,Case-Control Studies,106050
881,"Cartilage, Articular",418
882,Compact Disks,16654
883,Nickel,6363110
884,Plant Leaves,66133
885,Human Growth Hormone,176468
886,Fluorouracil,84909
887,"Echocardiography, Transesophageal",610
888,"Constriction, Pathologic",219
889,"Carcinoma, Squamous Cell",5933
890,Bacteremia,233695
891,Cell Wall,607550
892,Neuroendocrine Tumors,94375
893,Touch,88509026
894,"Receptors, Dopamine D2",101
895,Athletic Injuries,26065
896,Healthcare Disparities,34074
897,Philadelphia,26143424
898,Diagnostic and Statistical Manual of Mental Disorders,196467
899,Health Care Costs,774751
900,Mobility Limitation,4592
901,Turbinates,23779
902,Linear Models,231389
903,"Education, Medical, Undergraduate",163
904,Australia,94015972
905,Precursor Cell Lymphoblastic Leukemia-Lymphoma,1085
906,ROC Curve,6428
907,Cough,7474451
908,Baltimore,15648478
909,Linkage Disequilibrium,86224
910,Sweetening Agents,7853
911,Complement Factor H,1412
912,"Neoplasms, Glandular and Epithelial",172
913,Substance-Related Disorders,10359
914,Insulin Infusion Systems,132
915,Motion Pictures,1188230
916,Fever,12637835
917,Nitrous Oxide,550294
918,Neurodegenerative Diseases,546486
919,Anticoagulants,279396
920,Sex Determination Analysis,61
921,"Monitoring, Ambulatory",466
922,"Cardiology Service, Hospital",51
923,Titanium,3156087
924,"Radiographic Image Interpretation, Computer-Assisted",47
925,Surveys and Questionnaires,19381
926,Saudi Arabia,14076260
927,Non-ST Elevated Myocardial Infarction,68
928,Endosonography,5327
929,Nova Scotia,3686191
930,"Analgesia, Patient-Controlled",85
931,Heart Transplantation,87128
932,Epinephrine,466034
933,Precancerous Conditions,5843
934,"Pregnancy, Twin",187
935,Frozen Sections,29565
936,Spinal Fusion,116735
937,Spinal Cord Diseases,2375
938,Acute Coronary Syndrome,186080
939,Africa,92011992
940,Benign Paroxysmal Positional Vertigo,16179
941,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",194
942,Ureter,378523
943,Physical Examination,643824
944,Qualitative Research,819677
945,"Quality Indicators, Health Care",163
946,Giant Cell Arteritis,40334
947,Muscle Strength,376949
948,Atracurium,15256
949,Environmental Monitoring,337748
950,"Antiretroviral Therapy, Highly Active",338
951,Autoimmune Diseases,622911
952,Laparotomy,147307
953,"Signal Processing, Computer-Assisted",220
954,Kidney,9910732
955,North America,21637865
956,Drug Administration Schedule,973
957,Gadolinium DTPA,192
958,"Mice, Inbred BALB C",1073
959,"Pattern Recognition, Automated",127
960,Postoperative Hemorrhage,3393
961,Child Language,56819
962,Escherichia coli,1175806
