,Term,Count
815,Empathy,13209274
816,Competitive Behavior,29678
817,Syncope,670931
818,"Immunity, Cellular",1491
819,Skin Temperature,262436
820,Spain,50712940
821,GB virus C,3705
822,England,108016031
823,Stromal Cells,609036
824,Erythrocytes,906436
825,Polysomnography,186353
826,Severity of Illness Index,819
827,Activities of Daily Living,940579
828,Balloon Occlusion,30143
829,Urticaria,701222
830,Organ Preservation,40387
831,Radiation Injuries,11279
832,"Accidents, Traffic",14869
833,Photography,55352538
834,Behavior,142756863
835,Fires,21930513
836,"Spectrometry, X-Ray Emission",51
837,Choledocholithiasis,45581
838,Language Development Disorders,679
839,Pharynx,614361
840,Central Venous Pressure,68757
841,Insulin Antibodies,7130
842,"Anesthetics, Inhalation",107
843,Osteonecrosis,252678
844,"Rats, Wistar",682
845,"Radiography, Thoracic",206
846,"Students, Dental",3966
847,Meningitis,2420079
848,"Image Processing, Computer-Assisted",299
849,Liver Cirrhosis,460612
850,Denmark,18037002
851,Cryptorchidism,112097
852,"Shock, Cardiogenic",745
853,Thymus Neoplasms,71
854,Resource Allocation,1219425
855,Hysteroscopy,229147
856,Steroids,21139124
857,Hospital Administration,166442
858,Obesity,21824572
859,Joint Dislocations,16929
860,"Vena Cava, Inferior",976
861,"Malocclusion, Angle Class II",61
862,Perinatal Care,58345
863,Ventriculoperitoneal Shunt,28826
864,Sympathomimetics,51939
865,Emergencies,10677259
866,"Peer Review, Health Care",29
867,Staff Development,548273
868,Dermatologic Surgical Procedures,534
869,Mass Casualty Incidents,16864
870,Mental Disorders,2181221
871,Life Change Events,1132
872,"Diabetes Mellitus, Type 2",2959
873,Irritable Bowel Syndrome,984895
874,"Antineoplastic Agents, Hormonal",94
875,"Urinary Bladder, Overactive",30
876,Color,420447007
877,Rectum,2240678
878,Interrupted Time Series Analysis,12030
879,Self Efficacy,72203
880,Case-Control Studies,219305
881,"Cartilage, Articular",374
882,Compact Disks,33229
883,Nickel,18696562
884,Plant Leaves,265889
885,Human Growth Hormone,700604
886,Fluorouracil,173016
887,"Echocardiography, Transesophageal",1381
888,"Constriction, Pathologic",135
889,"Carcinoma, Squamous Cell",16846
890,Bacteremia,534974
891,Cell Wall,1749432
892,Neuroendocrine Tumors,177158
893,Touch,250374690
894,"Receptors, Dopamine D2",53
895,Athletic Injuries,54495
896,Healthcare Disparities,50828
897,Philadelphia,31738463
898,Diagnostic and Statistical Manual of Mental Disorders,311361
899,Health Care Costs,1219099
900,Mobility Limitation,11832
901,Turbinates,77234
902,Linear Models,469169
903,"Education, Medical, Undergraduate",93
904,Australia,157084176
905,Precursor Cell Lymphoblastic Leukemia-Lymphoma,117
906,ROC Curve,17525
907,Cough,19767705
908,Baltimore,18855358
909,Linkage Disequilibrium,237741
910,Sweetening Agents,20417
911,Complement Factor H,2884
912,"Neoplasms, Glandular and Epithelial",115
913,Substance-Related Disorders,16169
914,Insulin Infusion Systems,457
915,Motion Pictures,2564521
916,Fever,25127877
917,Nitrous Oxide,974939
918,Neurodegenerative Diseases,932904
919,Anticoagulants,720663
920,Sex Determination Analysis,65
921,"Monitoring, Ambulatory",724
922,"Cardiology Service, Hospital",95
923,Titanium,14015725
924,"Radiographic Image Interpretation, Computer-Assisted",37
925,Surveys and Questionnaires,34762
926,Saudi Arabia,19502178
927,Non-ST Elevated Myocardial Infarction,93
928,Endosonography,23793
929,Nova Scotia,5028373
930,"Analgesia, Patient-Controlled",109
931,Heart Transplantation,166388
932,Epinephrine,1165292
933,Precancerous Conditions,14889
934,"Pregnancy, Twin",580
935,Frozen Sections,88083
936,Spinal Fusion,298656
937,Spinal Cord Diseases,5577
938,Acute Coronary Syndrome,341310
939,Africa,146138577
940,Benign Paroxysmal Positional Vertigo,41643
941,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",93
942,Ureter,1480584
943,Physical Examination,1916747
944,Qualitative Research,1845402
945,"Quality Indicators, Health Care",112
946,Giant Cell Arteritis,76302
947,Muscle Strength,1496714
948,Atracurium,41982
949,Environmental Monitoring,625463
950,"Antiretroviral Therapy, Highly Active",105
951,Autoimmune Diseases,1388906
952,Laparotomy,482801
953,"Signal Processing, Computer-Assisted",78
954,Kidney,27633157
955,North America,34898022
956,Drug Administration Schedule,824
957,Gadolinium DTPA,222
