Doc ID,Biomedical Entities,Entity Types
73,['tissue area'],['Diagnostic_procedure']
74,[],[]
75,"['cytokines', 'epilepsy']","['Diagnostic_procedure', 'Disease_disorder']"
76,"['breast', 'pathology assessment', 'ductal carcinoma']","['Biological_structure', 'Diagnostic_procedure', 'Disease_disorder']"
77,"['treadmill testing', 'spina bifida', 'oxygen']","['Diagnostic_procedure', 'History', 'Diagnostic_procedure']"
78,"['steal', 'blood pressure difference', 'arms', 'steal']","['Disease_disorder', 'Diagnostic_procedure', 'Biological_structure', 'Coreference']"
79,"['size', 'reducing', 'ascending aortoplasty', 'external reinforcement', 'aortic']","['Detailed_description', 'Detailed_description', 'Detailed_description', 'Detailed_description', 'Biological_structure']"
80,"['digoxin', 'cardiovascular disease', 'prostate']","['Medication', 'Disease_disorder', 'Disease_disorder']"
81,"['screening', 'gestational diabetes mellitus', 'international association of the diabetes', 'and', 'pregnancy study groups']","['Diagnostic_procedure', 'Disease_disorder', 'Detailed_description', 'Coreference', 'Detailed_description']"
82,"['4 diagram manual', 'laypersons', 'laryngeal', 'mask', 'supremea®?']","['Detailed_description', 'Subject', 'Biological_structure', 'Therapeutic_procedure', 'Detailed_description']"
83,"['laparoscopic', 'antireflux', 'surgery']","['Detailed_description', 'Detailed_description', 'Therapeutic_procedure']"
84,"['omega - 3 index', 'coronary']","['Diagnostic_procedure', 'Biological_structure']"
85,"['cytokine', 'pancreatic juice', 'pancreatic diseases']","['Diagnostic_procedure', 'Biological_structure', 'Disease_disorder']"
86,"['nasopharyngeal', 'carcinoma', 'lung', 'metastasis', 'combined modality']","['Biological_structure', 'Disease_disorder', 'Biological_structure', 'Sign_symptom', 'Detailed_description']"
87,"['minimally invasive', 'mitral', 'valve repair', 'artificial chords', 'routine']","['Detailed_description', 'Biological_structure', 'Disease_disorder', 'Detailed_description', 'Detailed_description']"
88,"['hospice care', 'nursing homes', 'improve', 'pain']","['Therapeutic_procedure', 'Nonbiological_location', 'Lab_value', 'Sign_symptom']"
89,"['intensive', 'chemotherapy', 'safe']","['Detailed_description', 'Medication', 'Lab_value']"
90,"['biomarkers assessment', 'tubular', 'lesions', 'kidney']","['Diagnostic_procedure', 'Biological_structure', 'Sign_symptom', 'Biological_structure']"
91,"['open access', 'endoscopy']","['Detailed_description', 'Diagnostic_procedure']"
92,"['viral infections', 'benign', 'paroxysmal', 'positional', 'vertigo']","['Disease_disorder', 'Severity', 'Biological_structure', 'Sign_symptom', 'Sign_symptom']"
93,['spasticity'],['Sign_symptom']
94,"['retromandibular', 'transparotid approach', 'condylar', 'fractures']","['Biological_structure', 'Therapeutic_procedure', 'Biological_structure', 'Disease_disorder']"
95,"['ventricular', 'arrhythmias', 'athletes', 'subside']","['Biological_structure', 'Disease_disorder', 'Detailed_description', 'Detailed_description']"
96,"['complex', 'coronary', 'lesions', 'diabetes mellitus']","['Detailed_description', 'Biological_structure', 'Sign_symptom', 'Disease_disorder']"
97,"['dogs', 'prime', 'autistic children']","['Subject', 'Detailed_description', 'Subject']"
98,"['quality of life', 'lung']","['Diagnostic_procedure', 'Biological_structure']"
99,"['retroperitoneoscopic', 'nephrectomy']","['Detailed_description', 'Therapeutic_procedure']"
100,"['remission', 'major depressive episode', 'relapses', '4', 'follow']","['Sign_symptom', 'Disease_disorder', 'Sign_symptom', 'Date', 'Clinical_event']"
101,"['epidural analgesia', 'analgesia', 'all']","['Therapeutic_procedure', 'Therapeutic_procedure', 'Detailed_description']"
102,"['longer', 'quality of life', 'stroke', 'barthel index']","['Detailed_description', 'Diagnostic_procedure', 'Disease_disorder', 'Diagnostic_procedure']"
103,"['laparoscopy', 'acute', 'cholecystitis']","['Diagnostic_procedure', 'Detailed_description', 'Disease_disorder']"
104,"['older', 'adults', 'cancer']","['Age', 'Sex', 'Disease_disorder']"
105,"['two', 'follow', 'up', 'allergic', 'contact dermatitis']","['Date', 'Clinical_event', 'Clinical_event', 'History', 'Disease_disorder']"
106,"['favorable', 'prostate cancer', 'oligometastases']","['Lab_value', 'Disease_disorder', 'Medication']"
107,"['radiotherapy', 'time of pregnancy', ""hodgkin ' s disease"", 'breast']","['Therapeutic_procedure', 'Date', 'Disease_disorder', 'Biological_structure']"
108,"['atrial appendage', 'laa', 'device', 'alter', 'echocardiography and', 'electrocardiogram parameters', 'atrial fibrillation']","['Biological_structure', 'Disease_disorder', 'Coreference', 'Lab_value', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Disease_disorder']"
109,"['esophageal', 'varices', 'compensated', 'hepatic cirrhosis', 'duplex', 'doppler', 'ultrasonography']","['Biological_structure', 'Sign_symptom', 'Detailed_description', 'Disease_disorder', 'Detailed_description', 'Detailed_description', 'Diagnostic_procedure']"
110,"['inhaled', 'steroids', 'differ', 'cromones', 'asthma']","['Medication', 'Medication', 'Lab_value', 'Medication', 'Disease_disorder']"
111,"['airway surgery', 'lower', 'serum lipid', 'sleep']","['Therapeutic_procedure', 'Lab_value', 'Diagnostic_procedure', 'Sign_symptom']"
112,"['hospital', 'preparedness', 'terrorism', 'multiple', 'injury']","['Nonbiological_location', 'Clinical_event', 'Detailed_description', 'Detailed_description', 'Sign_symptom']"
113,"['dementia', '2']","['Disease_disorder', 'Date']"
114,"['pelvic', 'pain', 'defecatory symptoms', 'pelvic', 'organ']","['Biological_structure', 'Sign_symptom', 'Sign_symptom', 'Biological_structure', 'Coreference']"
115,"['scl', '90 - r', 'obsessive - compulsive dimension', 'cognitive impairments']","['Biological_structure', 'Detailed_description', 'Sign_symptom', 'Disease_disorder']"
116,"['non', 'hdl - cholesterol', 'better', 'acute', 'myocardial infarction', 'ldl', 'cholesterol']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value', 'Detailed_description', 'Disease_disorder', 'Diagnostic_procedure', 'Diagnostic_procedure']"
117,"['body diffusion - weighted', 'mr', 'uterine endometrial', 'cancer', 'nonenhanced', 'mr']","['Detailed_description', 'Diagnostic_procedure', 'Biological_structure', 'Sign_symptom', 'Detailed_description', 'Diagnostic_procedure']"
118,"['pediatric housestaff', 'influence tests', 'neonatal intensive care unit']","['Subject', 'Diagnostic_procedure', 'Nonbiological_location']"
119,"['biomolecular identification', 'allergenic pollen', 'aerobiological monitoring']","['Diagnostic_procedure', 'Detailed_description', 'Diagnostic_procedure']"
120,"['7th', 'tnm', 'gastric']","['Lab_value', 'Diagnostic_procedure', 'Biological_structure']"
121,"['lower', 'fasting', 'plasma glucose', 'type 2 diabetes', 'improved']","['Lab_value', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Disease_disorder', 'Lab_value']"
122,"['remote', 'ischemic', 'ischemic', 'percutaneous', 'coronary', 'revascularization']","['Detailed_description', 'Detailed_description', 'Sign_symptom', 'Biological_structure', 'Biological_structure', 'Therapeutic_procedure']"
123,"['multi', 'modal', 'cervical', 'physical therapy', 'improve', 'tinnitus', 'cervicogenic', 'somatic', 'tinnitus']","['Detailed_description', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Lab_value', 'Disease_disorder', 'Biological_structure', 'Coreference', 'Disease_disorder']"
124,['information sheets'],['Diagnostic_procedure']
125,"['ophthalmologist diplomates', 'improved']","['Subject', 'Lab_value']"
126,['better'],['Lab_value']
127,"['adult', 'body circumferences', 'height']","['Sign_symptom', 'Diagnostic_procedure', 'Sign_symptom']"
128,"['valvar', 'aortic stenosis']","['Biological_structure', 'Disease_disorder']"
129,"['national institutes of health', 'stroke scale', 'left hemisphere', 'strokes']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Biological_structure', 'Sign_symptom']"
130,"['miralax', 'difference', 'adenoma detection rate']","['Detailed_description', 'Lab_value', 'Diagnostic_procedure']"
131,"['gingival crevicular', 'blood', 'blood glucose']","['Disease_disorder', 'Biological_structure', 'Diagnostic_procedure']"
132,"['zero', 'bloodstream', 'infection']","['Lab_value', 'Biological_structure', 'Sign_symptom']"
133,"['treatment', 'radiotherapy']","['Therapeutic_procedure', 'Therapeutic_procedure']"
134,"['therapy', 'breathlessness', 'palliative', 'care', 'opioid']","['Therapeutic_procedure', 'Sign_symptom', 'Detailed_description', 'Therapeutic_procedure', 'Disease_disorder']"
135,['pain'],['Sign_symptom']
136,"['displaced', 'midshaft', 'fractures']","['Detailed_description', 'Biological_structure', 'Disease_disorder']"
137,"['telemedicine', 'type 1 diabetes', 'technology']","['Diagnostic_procedure', 'History', 'Diagnostic_procedure']"
138,"['european', 'people', 'type 1 diabetes', 'consume', 'high atherogenic diet']","['Personal_background', 'Sex', 'History', 'Activity', 'Detailed_description']"
139,"['platelet count', 'esophageal', 'squamous cell carcinoma']","['Diagnostic_procedure', 'Biological_structure', 'Disease_disorder']"
140,"['serum', 'pancreatic lipase', 'serum', 'amylase', 'acute', 'pancreatitis']","['Detailed_description', 'Diagnostic_procedure', 'Detailed_description', 'Diagnostic_procedure', 'Detailed_description', 'Disease_disorder']"
141,"['electrochemiluminescence assays', 'type 1 diabetes', 'autoantibody', 'positive']","['Diagnostic_procedure', 'Disease_disorder', 'Detailed_description', 'Detailed_description']"
142,"['syntax', 'predict', 'in', 'hospital', 'outcomes', 'st elevation', 'myocardial infarction', 'primary', 'percutaneous coronary', 'intervention']","['Coreference', 'Lab_value', 'Detailed_description', 'Detailed_description', 'Lab_value', 'Detailed_description', 'Disease_disorder', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure']"
143,"['optimal', 'blood pressure', 'hypertensive status', 'black']","['Detailed_description', 'Diagnostic_procedure', 'Sign_symptom', 'Personal_background']"
144,"['tibial component', 'mechanical alignment', 'knee']","['Coreference', 'Diagnostic_procedure', 'Biological_structure']"
145,"['supplemental security', 'income', 'disability']","['History', 'Detailed_description', 'Disease_disorder']"
146,"['serum', 'egfr mutation', 'advanced', 'non', 'small cell', 'lung']","['Biological_structure', 'Diagnostic_procedure', 'Severity', 'Detailed_description', 'Detailed_description', 'Biological_structure']"
147,"['anterior cruciate ligament reconstruction', 'steep', 'posterior tibial']","['Biological_structure', 'Sign_symptom', 'Biological_structure']"
148,"['teleoncology', 'chemotherapy', 'rural']","['Diagnostic_procedure', 'Medication', 'Detailed_description']"
149,"['solitary', 'kidney', 'ischemia']","['Detailed_description', 'Biological_structure', 'Disease_disorder']"
150,"['rectal', 'anastomosis', 'gynaecological', 'debulking surgery', 'diverting stoma']","['Biological_structure', 'Therapeutic_procedure', 'Biological_structure', 'Therapeutic_procedure', 'Sign_symptom']"
151,"['mammography', 'mammography']","['Diagnostic_procedure', 'Diagnostic_procedure']"
152,['breast cancer'],['Disease_disorder']
153,"['c', 'kit', 'melanoma']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Disease_disorder']"
154,"['apoplexy', 'histological features']","['Disease_disorder', 'Sign_symptom']"
155,"['orthostatic myoclonus', 'unsteadiness']","['Disease_disorder', 'Sign_symptom']"
156,"['low', 'serum chloride']","['Lab_value', 'Diagnostic_procedure']"
157,"['ethnicity', 'cancer']","['Personal_background', 'Disease_disorder']"
158,"['transesophageal', 'echocardiographic assessment', 'left', 'ventricular', 'function', 'hearts', 'transplantation']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Biological_structure', 'Diagnostic_procedure', 'Biological_structure', 'Therapeutic_procedure']"
159,['pain'],['Sign_symptom']
160,"['age', 'moderate', 'personality disorder', 'coping style', 'psychiatric']","['Age', 'Severity', 'Disease_disorder', 'Sign_symptom', 'Detailed_description']"
161,"['neck', 'pain', 'worse', 'health', 'quality of life', '6 months later']","['Biological_structure', 'Sign_symptom', 'Lab_value', 'Detailed_description', 'Diagnostic_procedure', 'Date']"
162,"['end', 'tidal', 'carbon dioxide measurement', 'arterial carbon dioxide', 'low', 'birth weight', 'infants', 'first week of life']","['Detailed_description', 'Detailed_description', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Lab_value', 'Subject', 'Subject', 'Date']"
163,['residency'],['Diagnostic_procedure']
164,"['ca72 - 4', 'ovarian endometrioma']","['Diagnostic_procedure', 'Disease_disorder']"
165,['breast'],['Biological_structure']
166,"['bare - metal', 'stent', 'percutaneous', 'coronary']","['Detailed_description', 'Therapeutic_procedure', 'Detailed_description', 'Therapeutic_procedure']"
167,"['marital', 'living arrangement', 'association']","['History', 'History', 'Coreference']"
168,"['ibuprofen', 'increase', 'perioperative', 'blood loss', 'hip']","['Medication', 'Lab_value', 'Detailed_description', 'Sign_symptom', 'Biological_structure']"
169,"['magnetic resonance imaging', 'pain', 'disc']","['Diagnostic_procedure', 'Sign_symptom', 'Therapeutic_procedure']"
170,"['case', 'mix']","['Detailed_description', 'Detailed_description']"
171,"['cerebromediastinal tuberculosis', '- miller syndrome']","['Disease_disorder', 'Disease_disorder']"
172,"['ige against', 'isac 112']","['Diagnostic_procedure', 'Diagnostic_procedure']"
173,"['schizophrenia', 'high intelligence', 'schizophrenia']","['Disease_disorder', 'Sign_symptom', 'Disease_disorder']"
174,"['halofantrine', 'ototoxic']","['Medication', 'Sign_symptom']"
175,"['racial disparities', 'breast']","['Sign_symptom', 'Biological_structure']"
176,"['fractional', 'lasers', 'enhance', 'transdermal absorption', 'topical', 'lidocaine', 'in vivo', 'model']","['Detailed_description', 'Diagnostic_procedure', 'Lab_value', 'Diagnostic_procedure', 'Administration', 'Medication', 'Detailed_description', 'Detailed_description']"
177,"['laparoscopic', 'surgery', 'decrease', 'atrial fibrillation', 'foregut']","['Therapeutic_procedure', 'Coreference', 'Lab_value', 'Disease_disorder', 'Biological_structure']"
178,"['breast cancer', 'improving']","['Biological_structure', 'Lab_value']"
179,"['partial', 'expander deflation', 'radiotherapy', 'two', 'breast']","['Detailed_description', 'Therapeutic_procedure', 'Therapeutic_procedure', 'Detailed_description', 'Biological_structure']"
180,"['preterm', 'birth', 'pregnancy']","['Clinical_event', 'Clinical_event', 'Clinical_event']"
181,"['cold preparation', 'young children']","['Therapeutic_procedure', 'Subject']"
182,"['occupational nuclear power plant', 'radiation', 'conception']","['Activity', 'Activity', 'History']"
183,"['shape analysis', 'free', 'floating', 'internal carotid artery', 'thrombus', 'atherosclerotic', 'plaque', 'cta', 'stroke', 'transient', 'ischemic']","['Diagnostic_procedure', 'Detailed_description', 'Detailed_description', 'Biological_structure', 'Disease_disorder', 'Detailed_description', 'Sign_symptom', 'Diagnostic_procedure', 'Disease_disorder', 'Detailed_description', 'Sign_symptom']"
184,['cigarette packages'],['Activity']
185,"['surgical treatment', 'prosthetic valve', 'endocarditis', 'double prostheses', 'single - valve', 'replacement']","['Therapeutic_procedure', 'Biological_structure', 'Disease_disorder', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure']"
186,"['nomograms', 'biochemical recurrence', 'bcr', 'prostate', 'cancer', 'bcr']","['Diagnostic_procedure', 'Sign_symptom', 'Disease_disorder', 'Disease_disorder', 'Diagnostic_procedure', 'Disease_disorder']"
187,"['better', 'acute', 'infarction']","['Lab_value', 'Detailed_description', 'Disease_disorder']"
188,"['differences', 'mortality']","['Sign_symptom', 'Diagnostic_procedure']"
189,"['convulsions', 'retinal', 'haemorrhage']","['Sign_symptom', 'Biological_structure', 'Sign_symptom']"
190,"['cyanoacrylate', 'intestinal', 'anastomosis']","['Medication', 'Biological_structure', 'Therapeutic_procedure']"
191,"['increased', 'carotid artery', 'pulsatility', 'resistance indexes', 'vascular abnormalities', 'young', 'obese', 'males']","['Lab_value', 'Biological_structure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Sign_symptom', 'Detailed_description', 'Disease_disorder', 'Sex']"
192,"['topical', 'ropivacaine', 'tonsillectomy']","['Administration', 'Medication', 'Therapeutic_procedure']"
193,"['robotically assisted', 'laparoscopic', 'radical', 'prostatectomy', 'retropubic', 'radical', 'prostatectomy']","['Detailed_description', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Detailed_description', 'Detailed_description', 'Therapeutic_procedure']"
194,"['specialty care', 'improved', 'survival', 'congestive', 'heart failure']","['Therapeutic_procedure', 'Lab_value', 'Diagnostic_procedure', 'Detailed_description', 'Disease_disorder']"
195,"['histologic evaluation', 'testicular remnant', 'vanishing testes', 'surgical management']","['Diagnostic_procedure', 'Biological_structure', 'Disease_disorder', 'Therapeutic_procedure']"
196,"['oxybutynin hydrochloride', 'arrhythmia', 'bladder']","['Medication', 'Disease_disorder', 'Biological_structure']"
197,"['manic', 'mixed episode', 'bipolar disorder', 'run true', 'time']","['Detailed_description', 'Detailed_description', 'Disease_disorder', 'Detailed_description', 'Detailed_description']"
198,"['albumin', 'creatinine', 'acr', 'preeclampsia']","['Diagnostic_procedure', 'Diagnostic_procedure', 'Diagnostic_procedure', 'Disease_disorder']"
199,['concussion'],['Disease_disorder']
200,"['communication', 'terminally', 'ill']","['Activity', 'Subject', 'Family_history']"
201,"['primary', 'vasculitis']","['Detailed_description', 'Coreference']"
202,"['constipated', 'ultrasound']","['Coreference', 'Therapeutic_procedure']"
203,"['tobacco', 'industry', 'smoking', 'movies', 'to smoke']","['History', 'Occupation', 'Activity', 'Activity', 'History']"
204,"['general', 'reduce']","['Detailed_description', 'Lab_value']"
205,"['insulin resistance', 'hyperglycemia']","['Medication', 'Disease_disorder']"
206,"['high risk', 'uhr', 'different', 'psychosis']","['Lab_value', 'Diagnostic_procedure', 'Lab_value', 'Coreference']"
207,"['dickkopf - 3', 'gastric', 'lymph node', 'metastasis']","['Diagnostic_procedure', 'Biological_structure', 'Biological_structure', 'Sign_symptom']"
208,"['ct', 'csf', 'block', 'hydrocephalus']","['Diagnostic_procedure', 'Biological_structure', 'Sign_symptom', 'Coreference']"
209,"['oral', 'endotracheal', 'intubation', 'impaired', 'helicopter']","['Administration', 'Detailed_description', 'Therapeutic_procedure', 'Lab_value', 'Detailed_description']"
210,"['sternal', 'plating', 'sternal', 'improve', 'sternal']","['Biological_structure', 'Detailed_description', 'Biological_structure', 'Lab_value', 'Biological_structure']"
211,"['second - look', 'tympanoplasty', 'modified radical', 'mastoidectomy']","['Detailed_description', 'Therapeutic_procedure', 'Detailed_description', 'Therapeutic_procedure']"
212,"['t - cell deficiency', 'spatial learning ability', 'toluene']","['Disease_disorder', 'Diagnostic_procedure', 'Medication']"
213,"['home', 'older', 'imbalanced']","['Nonbiological_location', 'Age', 'Sign_symptom']"
214,"['increased', 'neutrophil', 'migratory activity', 'acute respiratory distress syndrome']","['Lab_value', 'Diagnostic_procedure', 'Sign_symptom', 'Disease_disorder']"
215,"['family', 'community - based', 'services', 'improvements', 'survival']","['Detailed_description', 'Detailed_description', 'Therapeutic_procedure', 'Lab_value', 'Diagnostic_procedure']"
