Term,Dolma,Pile,RPJ
Penis,67443776,1082488,2771349
"Receptors, Estrogen",1538,726,743
Rehabilitation Centers,380003,18189,133043
Nutrition Surveys,12085,3042,7941
"Cell Line, Tumor",480,112,2115
Lipoproteins,781761,274883,247426
Immune Tolerance,145335,58980,59584
Lupus Coagulation Inhibitor,41,36,24
Patch-Clamp Techniques,4494,3039,2456
"Ventricular Function, Right",151,68,67
Healthy Lifestyle,4621144,152511,1066587
Pancreatectomy,118797,54425,36562
Poland,25019791,2499372,16831731
Hydrocephalus,675295,179414,325911
"Receptors, Immunologic",51,10,262
Drug-Related Side Effects and Adverse Reactions,262,34,409
"Metabolism, Inborn Errors",932,100,1276
Geographic Atrophy,43381,9779,24957
College Admission Test,55725,2683,24202
Cell Differentiation,832303,400860,324605
Germ Cells,419991,197516,176275
Pneumococcal Vaccines,39580,6862,24561
Hyponatremia,472733,108883,213336
Fatty Liver,1314198,221769,493445
Pseudomonas aeruginosa,797570,122430,369382
Health Services Needs and Demand,114,16,370
Smoking Cessation,1410977,266181,646965
Health Status Indicators,7695,1808,5050
Endovascular Procedures,31469,9047,14473
"Medical Staff, Hospital",1603,130,742
Endpoint Determination,2042,817,1016
Rh Isoimmunization,646,12,116
Lung Neoplasms,6597,2541,3575
"Gene Expression Regulation, Neoplastic",148,5,834
Confidence Intervals,1556798,829507,671045
Radiology,4647980,396552,2626615
Interdisciplinary Communication,18866,2432,8283
Orthodontic Brackets,28251,10657,7851
Immunosuppressive Agents,98211,43414,40005
Isoproterenol,182899,126026,61522
Gastrointestinal Diseases,142057,25247,56201
"Cholesteatoma, Middle Ear",65,22,45
Intraoperative Care,3442,738,1579
Dementia,16352405,1896538,11903571
Asia,86002733,5298335,52617235
Academic Medical Centers,159274,17795,126600
Percutaneous Coronary Intervention,329331,119324,179436
Writing,351868763,20853796,138868356
Sarcoidosis,712615,206991,277606
Pelvic Organ Prolapse,144235,23658,71399
Publishing,48908600,3703155,34887657
Heart Ventricles,6643,2379,2462
Kaplan-Meier Estimate,368,67,931
Blood Transfusion,979353,223894,452442
Afghanistan,25577158,2714395,24251788
Hospice Care,962113,47869,412460
China,282824535,18592723,137787191
Life Tables,71544,15794,34740
Tumor Suppressor Protein p53,10524,5325,4325
"Carcinoma, Hepatocellular",3033,1544,2220
Follicle Stimulating Hormone,92462,23567,33320
Virus Diseases,34105,4498,18687
Learning Disorders,119076,10639,54734
Dilatation,964505,389245,285507
Fibrinogen,839384,432206,274971
"Liver Cirrhosis, Alcoholic",395,105,169
Mesopic Vision,2459,712,982
"Infant, Newborn",3471,197,5140
Fluoroscopy,432891,142474,145943
Anti-Inflammatory Agents,162264,47617,66023
Colon,40593013,8717033,23730375
Nuclear Family,863649,50743,407253
Depression,65263342,7243236,27399529
"Ventricular Dysfunction, Left",424,167,352
Interleukin-15,15789,3822,8246
"Pregnancy Complications, Hematologic",35,9,80
"Carcinoma, Signet Ring Cell",205,87,62
Veterinarians,2833237,176900,1040866
"Radiography, Bitewing",19,8,5
Brain Death,209430,52694,131471
"Insurance, Health",175473,5867,91452
Body Composition,1636250,296892,468183
Testis,1172009,503496,376066
Netherlands,28986787,2623811,20415464
Alabama,26694985,2900364,19399863
Insulin,28178742,6331313,7478260
Transcranial Direct Current Stimulation,65133,17349,41554
Ethanol,9941908,2880475,4203009
Oxygen,44534758,8186984,16480394
Cytoreduction Surgical Procedures,18,0,25
Endomyocardial Fibrosis,6817,2734,2757
"Mutation, Missense",298,124,519
Subarachnoid Hemorrhage,249889,88076,115705
Cross-Sectional Studies,177468,77131,75920
Medicare,23496217,1651399,11279527
Colorectal Neoplasms,13531,5470,6673
"Lens, Crystalline",89,18,74
Copper,61752708,3758920,15248070
Breast Neoplasms,7398,2785,6350
Volunteers,40144747,3012959,23288824
Constipation,5915727,421119,1272270
Vertigo,2788572,254219,1279538
Nursing Assessment,87883,4904,14684
Manikins,113739,10880,41875
Nasal Septum,139131,27556,40620
Anxiety Disorders,1608043,210085,649701
Tibial Meniscus Injuries,6,0,8
"Anesthetics, Local",577,107,335
Polysaccharides,1090649,339875,374877
Erythrocyte Indices,2782,871,1060
Patient Education as Topic,191,62,413
Evidence-Based Medicine,328322,51861,215899
"Anti-Inflammatory Agents, Non-Steroidal",241,45,693
Workplace,46512431,1794358,19790428
Parturition,265386,93700,125567
Government,512492273,52035283,378606191
Mortality,28304911,7977945,15278786
Cholesterol,23512519,3608948,5908463
Nasal Decongestants,26306,2451,9987
Patient Readmission,4265,588,2216
Polyethylene Glycols,19588,14784,13415
Viruses,22040562,3053348,8000707
Minimally Invasive Surgical Procedures,21722,4811,8520
Pneumothorax,555661,159528,189594
Pyrimidines,92847,31584,37663
Los Angeles,60145893,5222230,52700118
Femoral Artery,294269,127290,104987
Liver Neoplasms,3704,1832,2338
Managed Care Programs,15856,1681,9681
Rare Diseases,805679,73747,672726
Professional Role,169194,15189,72015
Capnography,83794,17092,37075
Eczema,5286807,247308,1047857
Frail Elderly,106285,19751,60525
Geriatric Assessment,63515,18244,25955
Reference Values,334052,128907,136542
"Sequence Analysis, DNA",287,84,1944
Sodium Bicarbonate,751927,104250,223928
Diabetic Angiopathies,624,365,315
Humans,71107767,8646203,38153771
Tongue,28740122,3453108,10802800
Ohio,53242227,5479945,34424195
Sutures,1415676,336186,406957
Amylases,43653,14900,17077
"Sleep Apnea, Obstructive",1722,147,631
Pneumonia,9953209,2219492,4655081
Breast Feeding,774429,59014,177391
Premature Birth,390833,42097,202725
"Pathology, Veterinary",1351,102,1039
Low Back Pain,1600230,205610,510370
Latin America,12854966,850460,9481496
Androstenedione,164044,45802,48390
Interferon-gamma,151430,82222,66104
Walking,110846828,8370042,44196456
Reminder Systems,18710,3192,6564
Cross Infection,60433,4462,13414
Trigeminal Neuralgia,216449,29875,80887
Warm Ischemia,25849,16683,6390
"Serum Albumin, Bovine",591,236,493
Prostate,19288894,3154363,6225635
Neisseria gonorrhoeae,150051,19965,87199
Echocardiography,1684094,605393,611957
"Education, Graduate",11369,629,11037
"Insurance, Pharmaceutical Services",305,4,12
Operative Time,200976,111798,54764
Quality Improvement,2015414,209957,935511
Sleep Wake Disorders,862,62,461
Police,237031860,29121737,171908592
Intention,48267655,5662671,24488641
Immunoenzyme Techniques,182,85,586
Government Programs,836177,71055,544347
Haplotypes,902944,570894,347079
Tissue Expansion Devices,76,37,14
Granulocytes,333657,170014,113073
Bariatric Surgery,1128978,145079,390151
Digestive System Surgical Procedures,101,12,108
Autonomic Pathways,3233,1142,1282
"Diet, Atherogenic",40,19,38
Pyramidal Cells,157443,89765,57663
Transplant Donor Site,66,12,25
Manitoba,5311460,453244,4177279
Cost-Benefit Analysis,505462,51889,358445
Prostheses and Implants,1969,328,854
Methadone,2438466,239928,947235
Rural Health Services,13548,1609,9821
Swine,3655437,628510,2237263
Arsenic,3483865,610740,1833472
"Labor Stage, First",5,7,1
Enterococcus,487945,69769,192392
Euthyroid Sick Syndromes,27,9,18
Pulmonary Medicine,103218,8827,75447
Ethnic Groups,2965434,399633,2271512
Nutrition Assessment,36224,4388,12958
Ontario,33758518,2370731,22944218
"Cholecystectomy, Laparoscopic",1139,253,546
Beverages,15768699,863366,5333267
Cold Temperature,273477,22512,67490
Spermatozoa,684304,314909,205281
Risk Assessment,5481662,513685,2853900
Breast Diseases,30932,5649,12046
Drug Utilization,55820,10325,30340
Necrosis,4013579,1769939,1540273
Clavicle,917875,101896,185750
"Infant, Low Birth Weight",174,57,181
Sexual Behavior,932127,188849,603611
Hepatic Veins,42656,17993,14328
Leg,197621759,17618160,108243117
Blood Glucose,5746417,865250,1194733
Bone Density,1313405,140409,397051
Poliovirus Vaccines,3994,1250,2824
Personality Inventory,96481,25388,53747
Developing Countries,8605923,820255,5753313
Prosthesis Design,8967,3029,3168
Social Support,2234011,477154,1031573
"Anesthesia, Spinal",1189,342,513
Excitatory Postsynaptic Potentials,13305,10511,4332
Anti-Retroviral Agents,1593,797,1064
Feces,2762717,483356,1132248
Adrenocorticotropic Hormone,83147,32420,41563
Outcome and Process Assessment (Health Care),28,8,42
Barium Sulfate,180865,18702,28304
"Chromatography, Liquid",2960,649,1870
"Hernia, Hiatal",414,58,181
Choroid,972334,395568,346356
Odds Ratio,988669,621016,404773
India,267676443,13222582,132624525
Shoulder Dislocation,64285,10559,23189
Dental Alloys,11472,2641,2746
Tooth Discoloration,67337,3263,11758
Preoperative Period,30723,12845,8758
Laminectomy,201743,68824,55998
Tunica Intima,13936,4775,5164
Soccer,39310006,2614136,21116912
"Biofeedback, Psychology",71,13,95
Fetus,4920320,705951,2341180
Head and Neck Neoplasms,3092,1126,1699
"Neoplasms, Second Primary",66,2,210
Pollen,7718313,1014086,2415733
"Cholangiopancreatography, Endoscopic Retrograde",148,82,80
Staphylococcus aureus,1545553,230931,745094
Meglumine,52089,19270,17727
"History, 21st Century",307,496,779
Colectomy,198493,74793,71374
Brazil,56891476,4916522,34307481
Tooth Extraction,654475,33348,95442
Catheter Ablation,181736,59721,76654
"Economics, Hospital",1026,72,651
Clinical Protocols,77935,16635,36736
Drug Therapy,821122,165832,364632
Poliomyelitis,201940,42089,147241
Breast Density,119289,27780,63315
Wet Macular Degeneration,22139,1096,9737
Acute Disease,83571,21178,36464
Glomerular Filtration Rate,408438,216871,166394
"Fertility Agents, Female",14,8,14
Pancreatic Neoplasms,13739,5054,6312
Leuprolide,68399,16176,24638
Trauma Severity Indices,125,43,107
United States,247335983,39603185,196791634
"Tachycardia, Ventricular",8848,1984,4459
Pancreatitis,2094679,489502,678613
Seminiferous Tubules,108992,51631,34917
Infant Mortality,905506,132539,745869
Epidural Abscess,40499,12461,16848
Patient Care Team,35665,1379,7835
Angioplasty,853116,313027,379752
Breast Implantation,5721,775,1997
Alanine Transaminase,58227,35728,21244
Ovulation Induction,89334,16113,30669
Self-Assessment,1847889,111547,674957
Urinalysis,725813,102469,174016
Secondary Prevention,305288,96517,156760
Dietary Proteins,26349,6446,10906
Medical Record Linkage,853,331,681
Caribbean Region,35707,2269,31708
Glasgow Coma Scale,88344,38042,42425
Immunoglobulin M,16196,4538,6588
Postpartum Period,300444,55941,117633
Phosphorylation,6628369,3652416,2028219
Accidental Falls,52408,3529,12499
Spinal Diseases,15638,3372,5112
Prevalence,21378502,6535340,10421193
Hypolipidemic Agents,3304,2100,1262
"Circumcision, Male",341,47,823
Urinary Bladder Diseases,321,55,126
Clinical Trials as Topic,664,272,1812
Jugular Veins,39625,12041,20044
Carboplatin,455511,178065,193695
"Hydrogel, Polyethylene Glycol Dimethacrylate",19,2,10
Cysts,2969760,615607,883180
Hospitalization,5544163,1171876,2502893
Combined Modality Therapy,17067,4340,6397
Dark Adaptation,46613,15609,16927
Decision Support Techniques,1500,183,1031
Kinesis,539981,54909,166061
Abdominal Pain,2530349,424943,866279
Lung Diseases,501475,88585,226573
Health Services Misuse,41,10,36
Sports Medicine,2209111,101825,1363846
Strabismus,409845,80835,164996
Uveal Neoplasms,198,19,121
Needs Assessment,793924,54735,436824
Hospital Mortality,128538,62162,61478
Mucous Membrane,497293,54558,131209
"Rats, Sprague-Dawley",355,72,1176
"Range of Motion, Articular",103,14,383
Drug Combinations,163893,48657,74235
Hepatic Artery,151104,76111,49163
Albuterol,890215,37791,194922
Nasal Obstruction,111844,31254,35371
Molluscum Contagiosum,55610,6429,23630
Middle East,28625709,2300125,24623048
"Receptors, Vasopressin",104,50,64
Physician-Patient Relations,2349,430,2804
Terrorism,18350290,2109654,18685232
Body Weight,9586315,1897654,2405154
Acquired Immunodeficiency Syndrome,136226,47693,80346
Patient Outcome Assessment,323,101,294
Actin Cytoskeleton,304926,160044,113793
Dizziness,5149684,370109,1321918
Freezing,15107647,1527214,5468376
Octreotide,185505,73354,71447
Neoplasm Grading,107,21,173
Persistent Vegetative State,52536,9469,37737
Pliability,233200,17983,46450
Portal Vein,386636,185450,126309
Budgets,15122580,814540,7503977
"Aorta, Thoracic",625,157,334
Community Health Services,109345,10475,85449
Povidone-Iodine,70343,18716,26200
Appendicitis,902868,179369,375111
Reproducibility of Results,20490,6574,11140
Basal Metabolism,42639,7752,10669
Language,257525694,25890589,124393928
Nurse Clinicians,6641,1190,2577
Heart Valve Prosthesis,5320,2695,3259
Military Personnel,2540233,378744,2095462
Fiber Optic Technology,24324,2206,10425
Amaurosis Fugax,8963,3533,3416
Arthroscopy,620913,115326,259568
Taxoids,7018,2481,1893
"Sperm Injections, Intracytoplasmic",15,8,40
Dental Caries,651061,119701,208131
Baths,14033172,583402,3499155
Surgical Stomas,86,16,30
Peroxisome Proliferator-Activated Receptors,20365,8824,9054
Oropharyngeal Neoplasms,285,82,271
"Anti-Infective Agents, Local",107,9,100
Lebanon,11820489,1085738,10232979
Neural Pathways,347764,41287,127519
Elastomers,556640,108479,173133
Medically Uninsured,5347,531,3707
Health Care Rationing,11407,1459,9761
"Disease Models, Animal",616,50,2472
Insulin Resistance,3484260,901195,983589
Colonoscopy,1758746,323732,552621
"Hospitals, General",7035,1000,4584
Body Mass Index,2440772,938592,911017
"Carcinoma, Papillary",1990,961,1402
Hepatectomy,222615,132354,52547
"Gait Disorders, Neurologic",43,12,59
Transportation of Patients,11563,1138,4735
Temporal Lobe,588079,220191,269180
"Quality Assurance, Health Care",274,61,224
Robotics,9557658,570662,5698590
Bicuspid,147044,32941,52526
"Osteoarthritis, Knee",2290,189,1105
Lymph Node Excision,3096,1558,1120
Choice Behavior,52787,15265,20477
Sulfasalazine,175744,33577,52839
DNA Virus Infections,112,7,52
"Administration, Oral",1982,611,1175
Advertising as Topic,55,3,37
Home Care Services,409219,15580,104243
Smoking Prevention,52844,10900,46080
"Pregnancy Complications, Neoplastic",54,6,67
Femur,1668084,539271,664887
Chlorhexidine,454263,107883,160762
"Diet, Diabetic",1489,60,232
Emergency Medical Services,688944,58044,475147
"Potassium Channels, Voltage-Gated",89,44,189
Foreign-Body Migration,44,11,34
Platelet Count,596408,207969,215065
Lymphocyte Count,134831,56455,46817
Pituitary Neoplasms,1241,443,886
Diarrhea,9654611,1077513,2948266
"Tomography, X-Ray Computed",419,59,1325
"Arthritis, Rheumatoid",16843,2666,7126
Pregnancy,53709043,5337243,18750852
Cardiovascular Agents,6250,2334,2691
Kidney Diseases,454622,66973,231615
Tissue Plasminogen Activator,114211,50776,54374
Cardiopulmonary Bypass,245702,129555,106179
Thyrotropin,131611,55309,54620
Stents,1176063,416790,526814
Informed Consent,3991512,1580768,1840020
"Polymorphism, Genetic",699,166,1441
"Blood Pressure Monitoring, Ambulatory",91,15,82
"Purpura, Thrombocytopenic, Idiopathic",53,19,247
"Pregnancy Trimester, Second",26,3,96
"Rats, Inbred F344",45,12,68
Antineoplastic Combined Chemotherapy Protocols,145,21,762
Washington,119970567,14337822,108291693
CD56 Antigen,24,0,52
Synaptic Transmission,287924,143027,117387
Leptin,3530038,791555,545179
"Dilatation, Pathologic",480,5,83
"Mastectomy, Segmental",117,16,55
"Diabetes, Gestational",13158,1733,3002
Biomechanical Phenomena,818,117,665
Radiation Protection,421455,39410,253920
Device Removal,21927,5734,7417
Adverse Drug Reaction Reporting Systems,227,61,210
Reverse Transcriptase Polymerase Chain Reaction,40967,23256,18132
Electromyography,309281,90375,114598
Aging,32800108,3272816,14246921
Visual Acuity,1219900,432378,454082
DNA,61547559,20590364,29746529
Lumbosacral Region,12661,3951,4479
Intercellular Signaling Peptides and Proteins,319,17,453
Cone-Beam Computed Tomography,44532,12054,20198
Benzalkonium Compounds,101,40,65
Gastrectomy,516186,173800,143586
Continuous Positive Airway Pressure,175419,40324,68707
Sensitivity and Specificity,976385,479702,354519
Tooth,51671091,3238174,12366402
Bipolar Disorder,3089994,384993,1519498
Amoxapine,20775,3225,6761
Oral Health,5357067,327040,1382367
Blood Gas Analysis,68525,30524,22560
"Education, Medical, Graduate",105,32,200
Secretin,103101,46082,40705
Internship and Residency,100523,3409,70602
Intra-Abdominal Fat,14335,6085,5408
Parents,218959713,16717264,105437571
Sexually Transmitted Diseases,839710,76551,373910
Life Expectancy,5293157,554520,2685864
Interpersonal Relations,205922,21791,112091
Prenatal Diagnosis,198979,65166,100785
Retrospective Studies,180015,74334,69315
Sensory Thresholds,9066,3954,3177
Coronary Disease,224650,57504,101988
End Stage Liver Disease,16009,4592,6653
"Pregnancy, Animal",328,39,144
"Hearing Loss, Sudden",428,70,161
Indicators and Reagents,206,19,184
HLA Antigens,1715,59,800
Mandibular Fractures,22090,9029,9865
Carboxylic Ester Hydrolases,354,231,103
Xanthomatosis,15083,4221,6546
Cholecystitis,288060,87372,100025
Maxilla,487375,172811,174981
Premedication,136299,48948,53146
"Pattern Recognition, Physiological",17,4,12
Gynecologic Surgical Procedures,2328,266,648
Rural Population,450345,62827,303438
Specific Pathogen-Free Organisms,68,6,60
Abdominal Fat,344660,56009,76860
Poisons,2115576,223670,1023746
Blood Group Incompatibility,3972,1106,1531
New Jersey,34879469,3252262,23768693
Feasibility Studies,594120,27711,300881
Fertilization in Vitro,3682,1425,1435
Abdomen,7797809,984423,2193657
"Hospitals, Psychiatric",5486,529,3266
"Hypertrophy, Left Ventricular",746,368,414
Folic Acid,2480617,250304,699282
Tibia,1340570,402745,478343
"Models, Statistical",7194,809,4690
Adipose Tissue,2134383,828454,686796
Immunohistochemistry,1611317,961729,553956
Status Epilepticus,227744,67948,134312
Causality,2195233,537999,1247386
Punctures,987642,175708,289699
"Tuberculosis, Gastrointestinal",289,45,183
"Memory, Short-Term",5576,865,2282
"Hepatitis, Viral, Human",74,11,89
False Negative Reactions,704,384,352
Radiosurgery,361753,88896,218159
Health Care Surveys,1796,185,1687
Karyotyping,104091,41210,36107
"Administration, Topical",718,168,485
"Hospitals, High-Volume",61,5,11
Systole,216928,84876,63844
Affective Symptoms,26399,10678,10522
"Neoplasms, Radiation-Induced",66,7,183
Noise,77017263,11436369,29143114
Body Temperature,3479819,395802,984985
Glass,204510930,15271654,64246448
"Nystagmus, Physiologic",9,2,11
Fetal Macrosomia,18337,5052,6477
Time Factors,41465,4117,16908
Anti-HIV Agents,2555,90,929
Injury Severity Score,45758,28928,23090
"Statistics, Nonparametric",778,79,657
Neuroimmunomodulation,8203,1165,5505
"Echinococcosis, Hepatic",17,17,8
Midwifery,1591566,127963,964625
Task Performance and Analysis,136,23,252
"Dermatitis, Atopic",4957,937,2299
Carotid Arteries,235839,89002,81212
Longitudinal Studies,404873,137243,198940
DNA Probes,2699,665,1554
"Intensive Care Units, Neonatal",430,55,280
Subclavian Steal Syndrome,4388,1750,1343
Mammography,1369878,245679,663415
Thyroidectomy,320467,106045,99568
Biometry,122336,26094,54882
Health Resources,731304,51799,502416
Triiodothyronine,167471,51515,56940
Occupational Exposure,317185,80157,190991
Insurance Coverage,12515740,379512,2623605
Adrenal Cortex Hormones,2409,264,1121
Sacrum,465750,78682,172445
Colonic Polyps,21717,8248,8765
Inorganic Chemicals,65090,3856,25260
Staining and Labeling,363,113,257
Birth Weight,1543783,502196,644290
Respiratory Sounds,12436,3463,4343
Gastric Emptying,301906,107018,98825
Hospital Bed Capacity,13091,835,9697
Incidence,19890763,6214920,9048188
Patient Participation,91740,18716,45473
Orthodontic Anchorage Procedures,27,7,12
Manuals as Topic,16,2,10
"Anemia, Sickle Cell",2567,306,1439
Triage,2171665,308999,967472
Essential Tremor,164291,22707,81842
"Cholesterol, LDL",3026,412,1281
Women's Health,1321372,137249,1013155
Osmolar Concentration,746,114,434
Cerebellar Neoplasms,195,81,113
Esterification,239869,107844,82696
Palliative Care,3007505,361324,1495397
"Homosexuality, Male",730,98,1342
"Endothelium, Vascular",865,439,1019
Nursing Homes,3944826,239583,1876878
"Ultrasonography, Prenatal",148,17,239
Vascular Resistance,292033,146256,94799
Mesentery,178847,62069,60701
Hyperbaric Oxygenation,10703,3736,4720
Tensile Strength,2679270,270543,477042
"Intubation, Gastrointestinal",94,25,167
Fenofibrate,250703,62162,96309
Polyps,1645948,335366,528506
Eosinophilia,341503,124649,158401
Coronary Artery Disease,1510495,440589,675392
Paraffin Embedding,29974,18057,6925
"Milk, Human",1626,354,1100
Sex Hormone-Binding Globulin,35250,11185,14750
Dental Arch,112103,29071,31152
Myocardial Ischemia,300804,137392,124457
Risk,339428990,37958601,150103894
Carotid Artery Thrombosis,2352,1288,1043
"Monitoring, Physiologic",135,18,274
Bone Plates,22612,7011,8844
"Administration, Inhalation",361,128,271
Antitussive Agents,1406,524,433
State Medicine,7451,813,5742
Biocompatible Materials,39288,8462,15454
Solvents,4404233,987759,1321442
Recovery of Function,24603,10285,12091
Coronary Care Units,8629,2785,3964
Pubic Bone,234934,20535,37112
Lymphoma,5436530,1395699,3003406
"Carotid Artery, Internal",1419,557,644
Preventive Health Services,45527,5851,30128
Pelvis,4099681,521588,1073224
Durapatite,246,148,131
Atenolol,665608,55837,108463
"Genital Neoplasms, Female",88,11,117
Schizophrenia,6635812,1584206,3578324
Microglia,1658635,828761,575747
Dyspnea,954816,310844,356819
Adenocarcinoma,2267178,1028453,847148
Pedigree,3644567,408754,1788381
Public Opinion,4477220,577279,3921541
Automobiles,8298957,575974,3068104
External Fixators,17369,6082,5063
Heart Atria,1369,456,566
Retinal Hemorrhage,17135,5890,7712
Germany,102482523,10859049,67939522
Child Abuse,3842860,417894,3373984
Correction of Hearing Impairment,46,11,18
Neuropsychological Tests,97688,45212,43143
Patient Admission,28619,6005,10210
Somatoform Disorders,32753,11853,22166
Contrast Media,195991,69219,70273
Ovarian Follicle,40342,11991,16722
"Respiratory Distress Syndrome, Newborn",57,17,121
Intraoperative Period,10119,4450,3767
"Models, Educational",1608,96,590
Lymphatic Metastasis,30897,17980,6867
Postoperative Complications,445590,205204,127471
Religion and Medicine,7162,884,6475
Personality Disorders,670634,86997,344804
"Receptors, Serotonin",1557,535,815
"Models, Theoretical",1726,273,1810
Tympanoplasty,59524,13257,15256
Genotype,4952603,2639417,1743409
Administrative Personnel,117284,11821,73816
Guidelines as Topic,1009,207,2663
Histamine,1699038,481461,467080
Documentation,49918024,5879778,19649159
Censuses,513666,63311,470863
Multiple Organ Failure,127317,39178,60909
Cell Movement,73486,33298,31850
Allergens,4498489,331615,998578
"Stress, Psychological",8694,1019,3935
Rhinoplasty,1203643,53241,250237
Intracranial Thrombosis,464,199,310
Thymoma,130188,59169,56303
"Malocclusion, Angle Class III",35,3,9
Computer Simulation,556212,86985,281109
Research,758216456,58824359,425285900
Acetabulum,188457,63423,66266
"Lipoproteins, LDL",101,42,256
Randomized Controlled Trials as Topic,280,69,3138
Basketball,48401120,3687299,32135070
"Pregnancy, Ectopic",1551,283,531
New Zealand,50605436,3633818,37289636
Radiotherapy Dosage,533,203,224
Nutritional Status,788396,225314,307439
"Arthroplasty, Replacement, Knee",72,42,397
Skin Tests,93746,24330,29348
Parkinson Disease,69074,8314,50539
Eye Diseases,465371,37538,176091
Antidepressive Agents,3172,828,2263
Probability,38485656,11903050,15979875
Hip,45652170,4250963,23428009
Tuberculoma,22527,9594,8249
Whole Body Imaging,6728,3023,3434
Skin Absorption,47002,4328,14182
"Fractures, Bone",6851,1111,2541
Femoral Neck Fractures,36687,14666,12139
"Audiometry, Evoked Response",19,6,7
Joint Instability,38969,7992,13345
"RNA, Messenger",510,31,3062
Antibody Specificity,23292,13201,8130
Molecular Probe Techniques,72,26,44
Respiratory System,1247581,116867,356318
Program Evaluation,435690,29613,319748
Prosthesis Implantation,18390,4851,6475
Demography,1177384,122887,892777
Pediatrics,4827068,322817,3550331
Switzerland,26585064,2100574,16753466
Thoracotomy,225037,108962,78528
Pharmacies,8460477,335115,2376339
"Reagent Kits, Diagnostic",80,10,115
Life Style,2096014,94066,498176
Point-of-Care Systems,1971,491,1150
Teaching,128192688,6449306,60943969
Tyrosine,3209235,1369033,1189112
Imitative Behavior,4484,1177,2742
Mutation,14958243,5255174,6204876
"Electrocardiography, Ambulatory",205,30,91
Guinea Pigs,1555811,223147,526436
Trigeminal Nerve,185859,44638,82691
"Carcinoma, Non-Small-Cell Lung",817,278,809
Peritoneal Neoplasms,327,123,374
Drug Costs,351980,35293,239380
Hospital Units,45870,8879,25900
Esophageal Atresia,37653,11408,17334
Reading,263272934,19253974,115226108
